District,Population
Alaska at-large,"740,133"
Montana 2,"558,158"
Wyoming at-large,"587,618"
South Dakota at-large,"924,669"
Oregon 2,"704,768"
Nebraska 3,"649,934"
North Dakota at-large,"796,568"
Nevada 2,"802,677"
Texas 23,"806,011"
Arizona 2,"853,923"
New Mexico 3,"708,684"
New Mexico 2,"710,491"
Colorado 3,"742,698"
Kansas 1,"731,386"
Idaho 2,"967,957"
Nevada 4,"833,125"
Montana 1,"579,075"
Idaho 1,"1,033,662"
Utah 2,"880,783"
Texas 13,"799,858"
Oklahoma 3,"797,016"
Colorado 4,"789,599"
Minnesota 8,"727,411"
Minnesota 7,"722,392"
Texas 19,"787,118"
Utah 3,"830,117"
Maine 2,"697,280"
Michigan 1,"787,617"
California 1,"759,259"
Arizona 9,"915,903"
Wisconsin 7,"754,076"
Arkansas 4,"744,382"
California 3,"807,351"
Oklahoma 2,"815,354"
Iowa 4,"801,546"
Missouri 6,"788,896"
Arkansas 1,"754,656"
Texas 11,"802,030"
Washington 5,"801,690"
Missouri 8,"776,269"
Mississippi 2,"694,703"
California 23,"758,179"
Washington 4,"794,949"
New Mexico 1,"711,081"
Illinois 15,"739,197"
New York 21,"767,674"
Arizona 7,"813,289"
Kansas 2,"739,248"
Louisiana 4,"767,466"
Kansas 4,"745,885"
Missouri 4,"784,156"
West Virginia 1,"861,893"
Illinois 12,"745,901"
Arizona 6,"833,838"
California 2,"752,654"
Pennsylvania 15,"758,111"
Iowa 2,"797,329"
Minnesota 1,"718,116"
California 25,"792,416"
Kentucky 5,"736,508"
Mississippi 3,"734,735"
Oregon 4,"712,690"
Kentucky 1,"759,138"
Colorado 2,"728,333"
Texas 28,"825,116"
Wisconsin 3,"740,873"
Georgia 8,"787,897"
Iowa 1,"804,704"
Iowa 3,"837,909"
Louisiana 5,"763,961"
Texas 17,"798,340"
Texas 27,"793,985"
Alabama 7,"718,912"
Utah 1,"871,848"
Virginia 9,"782,270"
Georgia 2,"757,227"
Mississippi 1,"753,783"
Florida 2,"819,004"
Washington 8,"794,910"
California 5,"772,810"
Oklahoma 4,"819,271"
Michigan 2,"788,872"
West Virginia 2,"908,086"
California 20,"816,324"
Georgia 12,"786,415"
Alabama 2,"703,362"
Texas 1,"795,955"
Virginia 5,"805,334"
Tennessee 8,"774,995"
Vermont at-large,"648,493"
Texas 25,"826,421"
Illinois 16,"752,764"
Alabama 4,"735,310"
North Carolina 1,"753,478"
New York 19,"776,282"
Indiana 8,"758,402"
Texas 10,"832,921"
Louisiana 3,"777,847"
Missouri 3,"799,877"
Ohio 2,"790,454"
Georgia 1,"806,580"
Florida 3,"845,635"
Washington 3,"802,855"
Kentucky 2,"775,395"
Mississippi 4,"759,824"
Alabama 1,"760,389"
Colorado 7,"728,241"
New York 24,"772,889"
Washington 6,"799,758"
South Carolina 6,"762,934"
North Carolina 3,"775,182"
New Hampshire 2,"700,189"
Alabama 3,"737,665"
Wisconsin 8,"747,225"
Tennessee 4,"826,508"
New York 23,"773,707"
Florida 18,"875,428"
Pennsylvania 13,"769,505"
Texas 21,"846,025"
California 13,"790,923"
Virginia 6,"797,837"
North Carolina 11,"770,851"
Texas 15,"812,527"
Hawaii 2,"727,086"
Indiana 4,"789,018"
Pennsylvania 9,"770,915"
Indiana 9,"764,291"
Nebraska 1,"672,915"
Texas 36,"816,162"
Tennessee 6,"803,181"
Tennessee 7,"816,216"
Texas 6,"848,575"
Missouri 7,"803,037"
South Carolina 3,"766,747"
Texas 31,"901,458"
