"state","state_code","GEOID","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss","combined_loss_noself","terminated_loss_log","terminated_loss_noself_log","terminated_econ_loss_log","terminated_job_loss_log","terminated_econ_loss_noself_log","terminated_job_loss_noself_log","IDC_loss_log","IDC_econ_loss_log","IDC_job_loss_log","grant_funds_log","grant_funds_econ_log","combined_loss_log","combined_econ_loss_log","combined_job_loss_log","combined_loss_noself_log","rep_name","pol_party"
"Alabama","AL","0101",203441.518165169,203207.991633671,499896.502717997,1.94556955067941,499322.783463935,1.94323416758087,1384023.05760309,3407493.22302031,13.2006055017269,8318442.13911802,20499908.8146319,10113.5403215245,25317.0057950511,0.0976614807921783,0,0,0,1577351.03544674,3906816.00648425,15.1438396693077,1587231.04923677,12.2231387779449,12.2219902438732,13.1221583618261,1.08030219422143,13.1210100289692,1.07950903373156,14.1405057976699,15.0414877471795,2.6532846046648,15.9339856725856,16.8359310448127,14.2712580721341,15.178233535593,2.78153853227525,14.2775022076204,"Barry Moore","Republican"
"Alabama","AL","0102",477527.950412933,477527.924807813,1157396.02965809,4.51719812133809,1157395.94698223,4.5171978063951,2584669.40434446,6282778.4541899,24.5051022174658,15469956.6272661,37638187.7675474,12718.6447963828,31208.079006506,0.121586310008429,0,0,0,3049478.70996101,7440174.40117213,29.0223000238609,3062197.32915227,13.0763800662021,13.076380012582,13.9616841017267,1.70787014470914,13.9616840302942,1.70787008762528,14.7651085546405,15.6533230287779,3.2388785191091,16.5544104835194,17.4435297516392,14.930481547134,15.8224049819577,3.40194043965487,14.9346436242166,"Shomari Figures","Democrat"
"Alabama","AL","0103",1431757.70998588,1431057.28402211,3457398.10416505,13.4923036929526,3455677.44245805,13.4852994333149,5324621.66930949,12883389.575397,50.1998214952587,36236581.4150285,87641730.7116583,59960.5504887588,145533.1420142,0.567368609082623,0,0,0,6696418.82880661,16339067.017855,63.6851209285737,6755678.9533316,14.174414113692,14.1739247872844,15.0560271603643,2.6736177287167,15.055529361307,2.67313430296588,15.4878524068255,16.3714494874295,3.93573604561866,17.4055797304711,18.2887678318717,15.7170835876338,16.6090696089185,4.16953120486759,15.7258941835751,"Mike Rogers","Republican"
"Alabama","AL","0104",1276409.79484144,1276409.79484144,3080430.37086122,12.0235650826795,3080430.37086122,12.0235650826795,4356025.11914609,10560106.4282006,41.198754104727,31882163.1983737,77217461.9430989,59635.189195872,144684.607629735,0.564777544135181,0,0,0,5572799.72479166,13640536.7990618,53.2223191874064,5632434.91398754,14.0595626306064,14.0595626306064,14.9405802006173,2.5667604151737,14.9405802006173,2.5667604151737,15.2870707591479,16.1725940093157,3.74239069702147,17.277557295353,18.1621361933409,15.5334083086527,16.428556637686,3.99309261680766,15.5440525733255,"Robert B. Aderholt","Republican"
"Alabama","AL","0105",325416.645938623,325183.093802005,790540.985204457,3.08029594554279,789967.183274531,3.07796024750127,1924079.7407992,4716681.27266079,18.404092686218,11774453.7453469,28848111.0782061,16152.6290145307,39825.5834084659,0.155543808272458,0,0,0,2233343.75772329,5506648.45593532,21.4820529337193,2249262.8346012,12.6928647007498,12.6921467434116,13.5804740464344,1.40616952145774,13.5797479492961,1.40559692406681,14.4699588743996,15.3666162020713,2.96548400702679,16.2814428906669,17.1775551095469,14.6190109110785,15.5214669119486,3.11271734353017,14.6261135360224,"Dale W. Strong","Republican"
"Alabama","AL","0106",6447794.39857429,6447794.29615381,15535044.0430121,60.6330753087582,15535043.7123086,60.6330740489863,18439385.8387578,44518233.1348877,173.69302813093,136579767.166408,329573153.98087,297784.797802001,718127.494275056,2.80292581359833,0,0,0,24589395.4395301,60053276.8471964,234.326102179916,24887180.1349116,15.6792488316748,15.6792488157902,16.5586090002587,4.12119866327096,16.5586089789711,4.1211986428311,16.7299995238456,17.6114094190496,5.16303030867871,18.732419384076,19.6133089054158,17.0178258689351,17.9107426902994,5.46097222107223,17.0298634150138,"Gary J. Palmer","Republican"
"Alabama","AL","0107",6697382.68003561,6696915.65257774,16146003.3012492,63.0269388124164,16144855.945417,63.0222683611623,19568949.4453332,47234032.2249061,184.308291455222,145129563.238413,350148706.161333,309174.822115762,745710.879932641,2.91043179664608,0,0,0,25957157.3032531,63378888.1703231,247.330559816384,26265865.097911,15.7172275125809,15.7171577773284,16.5971831653343,4.15930391374215,16.5971121015231,4.15923096598466,16.7894547071386,17.6706252336298,5.22202087840584,18.7931374478817,19.6738684998166,17.0719579793729,17.9646413855718,5.51476076112445,17.0837807871896,"Terri A. Sewell","Democrat"
"Alaska","AK","0200",292617.014637568,292397.018690417,1229736.89402221,2.37337405556013,1229078.69326268,2.37110809730448,1383453.3729184,5522728.58257994,11.3011382531007,15493835.3011366,63533039.6002477,126.699562495041,377.110115601196,0.00137900942298252,0,0,0,1675943.68799348,6751807.27584262,13.6722463504052,1675850.39160882,12.5866233331288,12.5858712308102,14.0223116103499,1.21591344692471,14.0217762304351,1.21524150257389,14.1400940982062,15.5243827856314,2.50969179899923,16.5559528448114,17.9670706529545,14.331887557089,15.7253209196893,2.68595770588605,14.3318318876017,"Nicholas J. Begich III","Republican"
"Arizona","AZ","0401",469134.63677669,458189.838405935,1402214.05687201,4.83109098570573,1369468.56908545,4.71835956248696,6059315.03885916,18105265.7739183,62.3592820701386,38092823.3386186,113845640.56527,12922.4464069474,38697.7557252392,0.133951370584852,0,0,0,6515527.2292289,19474734.3430038,67.0776416326256,6517504.87726509,13.0586472098316,13.0350410540525,14.1535637277319,1.76320411590935,14.1299340469824,1.74368197448465,15.6171074868011,16.7117134358934,4.14882141647825,17.4555364847901,18.5503540674863,15.6896988441844,16.7846285600526,4.22064884254621,15.6900023265562,"David Schweikert","Republican"
"Arizona","AZ","0402",21978.6484900149,13013.8136436179,65707.2393244448,0.227470728167079,38885.5583736418,0.13513292924919,2538472.87191909,7579698.84993266,26.1242472047207,18670757.2620217,55757613.486351,1308.60828611875,3954.11987769922,0.0138735496569916,0,0,0,2559142.91212299,7618584.4083063,26.2593801339699,2551486.68556271,9.99787223556472,9.47384349874128,11.0929796048966,0.204955733695137,10.5684039267987,0.12674976235678,14.7470736205922,15.8409841592003,3.30042805865415,16.7424691286204,17.8365245416928,14.7551833512015,15.8461012684747,3.3053976869772,14.7521871531225,"Elijah Crane","Republican"
"Arizona","AZ","0403",46755.5175834847,39832.4382194692,138399.421460317,0.477419413607296,118191.103351851,0.408401274689312,3531398.72299467,10548371.14725,36.3327284570872,22827248.489487,68222751.583537,1668.00354803436,4956.32750984468,0.0174230774954675,0,0,0,3576486.23703012,10666562.2506018,36.7411297317765,3571231.16121413,10.7527089385501,10.5924619948069,11.8379063673946,0.390296926412856,11.6800665742085,0.342455213360345,15.0772048724102,16.1714821071422,3.61987038045342,16.9434655333455,18.0382886827708,15.08989165796,16.1826244767928,3.63075047409164,15.0884212374048,"Yassamin Ansari","Democrat"
"Arizona","AZ","0404",92076.20587091,82671.3791302113,269395.49222837,0.930604408310349,241257.40975851,0.833734692881152,5077265.79641713,15127417.1723929,52.0665511236975,32564065.2240403,97079666.131599,3409.1646851084,10060.334010589,0.0349604174457896,0,0,0,5165932.83760293,15368674.5821514,52.9002858165787,5159937.17554735,11.4303826983536,11.3226408364731,12.503939522192,0.657833118818535,12.3936238776963,0.606354702999806,15.440283642562,16.5320194282683,3.97154680742254,17.298719975332,18.3910425100117,15.4575964452781,16.5478419427813,3.98713578062035,15.4564351559029,"Greg Stanton","Democrat"
"Arizona","AZ","0405",153399.068827238,146744.191425925,410243.039568262,1.55059971476073,390332.466592512,1.48205447752721,3478023.52313434,10357301.9426262,35.7295925611098,22206284.8021185,66185802.9809058,2778.14360143992,7996.82762946705,0.0286220873216496,0,0,0,3628644.44836014,10747634.4092187,37.2116470386371,3624767.71456027,11.9408046165934,11.8964529700388,12.9245074800674,0.936328513778434,12.8747566953101,0.909086635585539,15.0619750248015,16.1532024271796,3.60358276696063,16.9158859510043,18.0079765565354,15.1043699818798,16.1901963264096,3.6431403654405,15.1033010413555,"Andy Biggs","Republican"
"Arizona","AZ","0406",378566.176302676,10567.9557060967,1131845.55244675,3.90078678670801,30840.2319447747,0.110405114563245,15378542.0857138,45980443.2491439,158.341381759677,103834860.238481,310921000.382653,33335.7896781807,99727.6675155612,0.344721767787281,0,0,0,15723772.4723383,46011283.4810887,158.45178687424,15389110.0414199,12.844148816436,9.26567627607396,13.9393609741813,1.58939576094273,10.3366077732081,0.10472491681459,16.5484837897078,17.6437267390435,5.07104895568365,18.4583123223928,19.5550494230295,16.5706843589293,17.6443972391749,5.07174159987957,16.5491707420558,"Juan Ciscomani","Republican"
"Arizona","AZ","0407",262245.2322639,13746.3305829127,783422.858819068,2.70211570990037,40069.7477883643,0.142647065182582,10718589.260205,32048965.8256372,110.368911504226,72275673.5778399,216263797.175854,22542.7084630664,67542.2853710994,0.233450160655116,0,0,0,10958291.7840058,32089035.5734256,110.511558569408,10732335.5907879,12.4770391591921,9.52859994482269,13.571429155225,1.30890446971373,10.5984018655066,0.133347557762689,16.1874901993814,17.2827755044818,4.71284821766797,18.0959981793111,19.1920095083343,16.2096070594684,17.2840249899936,4.71412824982703,16.1887718533221,"Raúl M. Grijalva","Democrat"
"Arizona","AZ","0408",159162.404008022,151957.536738831,476334.90464309,1.64112518835341,454778.829768519,1.56691505548075,3187975.72063446,9524890.13528145,32.801040549732,20776900.4085649,62081075.7373509,4692.50886335615,14093.5969925346,0.0488281077120478,0,0,0,3342445.61577913,9979668.96504997,34.3679556052128,3339933.25737329,11.9776866516458,11.931362978003,13.0738785663604,0.971205034067142,13.0275686902016,0.942704810371773,14.9748970166807,16.0694190495449,3.52049158751014,16.8493524183957,17.9439517780405,15.0222136164856,16.1160605781066,3.56580620129845,15.021461681338,"Abraham J. Hamadeh","Republican"
"Arizona","AZ","0409",30262.4009061406,25147.4951348834,90391.046424889,0.312782965177024,75087.8787658419,0.260099435733075,1574293.0678279,4711069.20645601,16.1783100357189,10914592.0910526,32673450.3878194,1153.89414364209,3461.56577358704,0.012024251843137,0,0,0,1603401.5745904,4786157.08522185,16.4384094714519,1599440.56296278,10.3176943705228,10.1325533381465,11.4119115604841,0.272149284762743,11.2264277411119,0.231190635098056,14.2693175188624,15.3654256602364,2.84364754359884,16.2056112674777,17.3020734219465,14.2876385382966,15.3812385776659,2.85867521429043,14.285165103139,"Paul A. Gosar","Republican"
"Arkansas","AR","0501",357468.425285431,357468.39968031,972056.862142785,3.39864017317838,972056.77946692,3.39863985823539,2528461.19791112,6818266.74093805,24.8147115560751,15391750.2074873,41525278.5681712,19942.9597988988,54006.1001318368,0.190693466246856,0,0,0,2865986.66339765,7790323.52040497,28.2133514143105,2885929.59759143,12.7868051137817,12.7868050421529,13.7871706106243,1.48129544160757,13.7871705255719,1.48129537000749,14.7431218489894,15.7351160006271,3.25094454476832,16.5493422880023,17.5418129459677,14.868423582894,15.8683930755678,3.3746258449879,14.8753579700682,"Eric A. “Rick” Crawford","Republican"
"Arkansas","AR","0502",2996137.66929078,2995916.92509142,8074168.46180555,27.8870845158896,8073455.70525185,27.8843693622375,11589926.842826,31233537.2940269,107.956049559079,71897271.2414343,193750526.191146,152230.390802565,410368.393626217,1.41791666861065,0,0,0,14433834.1213143,39306992.9992787,135.840418921316,14585843.7679175,14.9128349073581,14.9127612284147,15.9041805687561,3.3633945926633,15.9040922887146,3.36330059628717,16.2656469894834,17.2570030207611,4.69094458586177,18.090748883744,19.0820819471806,16.4850856696112,17.486913025364,4.9188154214999,16.4955620799301,"J. French Hill","Republican"
"Arkansas","AR","0503",304180.798763587,304179.625865594,826316.142937136,2.87139788262764,826312.178554011,2.87138724204881,2327739.0260209,6281682.36006714,21.7437855365676,16577729.3447588,44732763.4177957,4582.31071565316,12492.2418430316,0.0439090894085644,0,0,0,2627337.51406883,7107994.53862115,24.6151727786164,2631918.65188649,12.625380823893,12.6253769679744,13.6247339291002,1.35361565180237,13.6247291314354,1.35361290328781,14.6604084089262,15.6531485534912,3.12429194485329,16.6235708071525,17.6162167758198,14.7814819199278,15.7767308406005,3.24318486258085,14.7832240435626,"Steve Womack","Republican"
"Arkansas","AR","0504",460420.17368648,460420.122476239,1242352.20083516,4.29505933541322,1242352.03548343,4.29505870552725,1829731.45957912,4950664.21633357,17.1938187726691,11661792.872711,31526503.0888727,23694.5344753883,64052.4294218139,0.221977050442205,0,0,0,2266457.09879021,6193016.25181701,21.4888774781963,2290151.58205536,13.0398969445345,13.0398968333097,14.0325178817517,1.6667741849232,14.0325177486561,1.6667740659659,14.4196803171785,15.4150325126538,2.90108190852082,16.2718285754846,17.2663391496644,14.633728862005,15.6389329656126,3.11302085268451,14.6441290030293,"Bruce Westerman","Republican"
