countyyequivalent,statename,CountyFIPS,CBSA_NAME,Micro_Metro,CSA_NAME,CBSA_FIPS,CSA_FIPS,centraloutlyingcounty
Autauga County,Alabama,01001,"Montgomery, AL",Metro Area,"Montgomery-Selma, AL",33860,388,Central
Baldwin County,Alabama,01003,"Daphne-Fairhope-Foley, AL",Metro Area,"Mobile-Daphne-Fairhope, AL",19300,380,Central
Barbour County,Alabama,01005,"Eufaula, AL-GA",Micro Area,,21640,,Central
Bibb County,Alabama,01007,"Birmingham, AL",Metro Area,"Birmingham-Cullman-Talladega, AL",13820,142,Outlying
Blount County,Alabama,01009,"Birmingham, AL",Metro Area,"Birmingham-Cullman-Talladega, AL",13820,142,Outlying
Calhoun County,Alabama,01015,"Anniston-Oxford, AL",Metro Area,,11500,,Central
Chambers County,Alabama,01017,"LaGrange, GA-AL",Micro Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",29300,122,Outlying
Chilton County,Alabama,01021,"Birmingham, AL",Metro Area,"Birmingham-Cullman-Talladega, AL",13820,142,Outlying
Coffee County,Alabama,01031,"Enterprise, AL",Micro Area,"Dothan-Enterprise-Ozark, AL",21460,222,Central
Colbert County,Alabama,01033,"Florence-Muscle Shoals, AL",Metro Area,"Florence-Muscle Shoals-Russellville, AL",22520,250,Central
Coosa County,Alabama,01037,"Talladega-Sylacauga, AL",Micro Area,"Birmingham-Cullman-Talladega, AL",45180,142,Outlying
Cullman County,Alabama,01043,"Cullman, AL",Micro Area,"Birmingham-Cullman-Talladega, AL",18980,142,Central
Dale County,Alabama,01045,"Ozark, AL",Micro Area,"Dothan-Enterprise-Ozark, AL",37120,222,Central
Dallas County,Alabama,01047,"Selma, AL",Micro Area,"Montgomery-Selma, AL",42820,388,Central
DeKalb County,Alabama,01049,"Fort Payne, AL",Micro Area,"Huntsville-Decatur-Albertville, AL-TN",22840,290,Central
Elmore County,Alabama,01051,"Montgomery, AL",Metro Area,"Montgomery-Selma, AL",33860,388,Central
Etowah County,Alabama,01055,"Gadsden, AL",Metro Area,,23460,,Central
Franklin County,Alabama,01059,"Russellville, AL",Micro Area,"Florence-Muscle Shoals-Russellville, AL",40770,250,Central
Geneva County,Alabama,01061,"Dothan, AL",Metro Area,"Dothan-Enterprise-Ozark, AL",20020,222,Outlying
Greene County,Alabama,01063,"Tuscaloosa, AL",Metro Area,,46220,,Outlying
Hale County,Alabama,01065,"Tuscaloosa, AL",Metro Area,,46220,,Outlying
Henry County,Alabama,01067,"Dothan, AL",Metro Area,"Dothan-Enterprise-Ozark, AL",20020,222,Outlying
Houston County,Alabama,01069,"Dothan, AL",Metro Area,"Dothan-Enterprise-Ozark, AL",20020,222,Central
Jackson County,Alabama,01071,"Scottsboro, AL",Micro Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL",42460,174,Central
Jefferson County,Alabama,01073,"Birmingham, AL",Metro Area,"Birmingham-Cullman-Talladega, AL",13820,142,Central
Lauderdale County,Alabama,01077,"Florence-Muscle Shoals, AL",Metro Area,"Florence-Muscle Shoals-Russellville, AL",22520,250,Central
Lawrence County,Alabama,01079,"Decatur, AL",Metro Area,"Huntsville-Decatur-Albertville, AL-TN",19460,290,Outlying
Lee County,Alabama,01081,"Auburn-Opelika, AL",Metro Area,"Columbus-Auburn-Opelika, GA-AL",12220,194,Central
Limestone County,Alabama,01083,"Huntsville, AL",Metro Area,"Huntsville-Decatur-Albertville, AL-TN",26620,290,Central
Lowndes County,Alabama,01085,"Montgomery, AL",Metro Area,"Montgomery-Selma, AL",33860,388,Outlying
Macon County,Alabama,01087,"Auburn-Opelika, AL",Metro Area,"Columbus-Auburn-Opelika, GA-AL",12220,194,Outlying
Madison County,Alabama,01089,"Huntsville, AL",Metro Area,"Huntsville-Decatur-Albertville, AL-TN",26620,290,Central
Marshall County,Alabama,01095,"Albertville, AL",Micro Area,"Huntsville-Decatur-Albertville, AL-TN",10700,290,Central
Mobile County,Alabama,01097,"Mobile, AL",Metro Area,"Mobile-Daphne-Fairhope, AL",33660,380,Central
Montgomery County,Alabama,01101,"Montgomery, AL",Metro Area,"Montgomery-Selma, AL",33860,388,Central
Morgan County,Alabama,01103,"Decatur, AL",Metro Area,"Huntsville-Decatur-Albertville, AL-TN",19460,290,Central
Pickens County,Alabama,01107,"Tuscaloosa, AL",Metro Area,,46220,,Outlying
Pike County,Alabama,01109,"Troy, AL",Micro Area,,45980,,Central
Russell County,Alabama,01113,"Columbus, GA-AL",Metro Area,"Columbus-Auburn-Opelika, GA-AL",17980,194,Central
St. Clair County,Alabama,01115,"Birmingham, AL",Metro Area,"Birmingham-Cullman-Talladega, AL",13820,142,Central
Shelby County,Alabama,01117,"Birmingham, AL",Metro Area,"Birmingham-Cullman-Talladega, AL",13820,142,Central
Talladega County,Alabama,01121,"Talladega-Sylacauga, AL",Micro Area,"Birmingham-Cullman-Talladega, AL",45180,142,Central
Tallapoosa County,Alabama,01123,"Alexander City, AL",Micro Area,"Columbus-Auburn-Opelika, GA-AL",10760,194,Central
Tuscaloosa County,Alabama,01125,"Tuscaloosa, AL",Metro Area,,46220,,Central
Walker County,Alabama,01127,"Birmingham, AL",Metro Area,"Birmingham-Cullman-Talladega, AL",13820,142,Outlying
Anchorage Municipality,Alaska,02020,"Anchorage, AK",Metro Area,,11260,,Central
Fairbanks North Star Borough,Alaska,02090,"Fairbanks-College, AK",Metro Area,,21820,,Central
Juneau City and Borough,Alaska,02110,"Juneau, AK",Micro Area,,27940,,Central
Ketchikan Gateway Borough,Alaska,02130,"Ketchikan, AK",Micro Area,,28540,,Central
Matanuska-Susitna Borough,Alaska,02170,"Anchorage, AK",Metro Area,,11260,,Outlying
Cochise County,Arizona,04003,"Sierra Vista-Douglas, AZ",Metro Area,,43420,,Central
Coconino County,Arizona,04005,"Flagstaff, AZ",Metro Area,,22380,,Central
Gila County,Arizona,04007,"Payson, AZ",Micro Area,"Phoenix-Mesa, AZ",37740,429,Central
Graham County,Arizona,04009,"Safford, AZ",Micro Area,,40940,,Central
Maricopa County,Arizona,04013,"Phoenix-Mesa-Chandler, AZ",Metro Area,"Phoenix-Mesa, AZ",38060,429,Central
Mohave County,Arizona,04015,"Lake Havasu City-Kingman, AZ",Metro Area,,29420,,Central
Navajo County,Arizona,04017,"Show Low, AZ",Micro Area,,43320,,Central
Pima County,Arizona,04019,"Tucson, AZ",Metro Area,"Tucson-Nogales, AZ",46060,536,Central
Pinal County,Arizona,04021,"Phoenix-Mesa-Chandler, AZ",Metro Area,"Phoenix-Mesa, AZ",38060,429,Central
Santa Cruz County,Arizona,04023,"Nogales, AZ",Micro Area,"Tucson-Nogales, AZ",35700,536,Central
Yavapai County,Arizona,04025,"Prescott Valley-Prescott, AZ",Metro Area,,39150,,Central
Yuma County,Arizona,04027,"Yuma, AZ",Metro Area,,49740,,Central
Baxter County,Arkansas,05005,"Mountain Home, AR",Micro Area,,34260,,Central
Benton County,Arkansas,05007,"Fayetteville-Springdale-Rogers, AR",Metro Area,,22220,,Central
Boone County,Arkansas,05009,"Harrison, AR",Micro Area,,25460,,Central
Calhoun County,Arkansas,05013,"Camden, AR",Micro Area,,15780,,Outlying
Clark County,Arkansas,05019,"Arkadelphia, AR",Micro Area,,11660,,Central
Cleveland County,Arkansas,05025,"Pine Bluff, AR",Micro Area,"Little Rock-North Little Rock, AR",38220,340,Outlying
Columbia County,Arkansas,05027,"Magnolia, AR",Micro Area,,31620,,Central
Craighead County,Arkansas,05031,"Jonesboro, AR",Metro Area,"Jonesboro-Paragould, AR",27860,308,Central
Crawford County,Arkansas,05033,"Fort Smith, AR-OK",Metro Area,,22900,,Central
Crittenden County,Arkansas,05035,"Memphis, TN-MS-AR",Metro Area,"Memphis-Clarksdale-Forrest City, TN-MS-AR",32820,368,Central
Faulkner County,Arkansas,05045,"Little Rock-North Little Rock-Conway, AR",Metro Area,"Little Rock-North Little Rock, AR",30780,340,Outlying
Garland County,Arkansas,05051,"Hot Springs, AR",Metro Area,"Hot Springs-Malvern, AR",26300,284,Central
Grant County,Arkansas,05053,"Little Rock-North Little Rock-Conway, AR",Metro Area,"Little Rock-North Little Rock, AR",30780,340,Outlying
Greene County,Arkansas,05055,"Paragould, AR",Micro Area,"Jonesboro-Paragould, AR",37500,308,Central
Hot Spring County,Arkansas,05059,"Malvern, AR",Micro Area,"Hot Springs-Malvern, AR",31680,284,Central
Independence County,Arkansas,05063,"Batesville, AR",Micro Area,,12900,,Central
Jefferson County,Arkansas,05069,"Pine Bluff, AR",Micro Area,"Little Rock-North Little Rock, AR",38220,340,Central
Little River County,Arkansas,05081,"Texarkana, TX-AR",Metro Area,,45500,,Outlying
Lonoke County,Arkansas,05085,"Little Rock-North Little Rock-Conway, AR",Metro Area,"Little Rock-North Little Rock, AR",30780,340,Central
Madison County,Arkansas,05087,"Fayetteville-Springdale-Rogers, AR",Metro Area,,22220,,Outlying
Miller County,Arkansas,05091,"Texarkana, TX-AR",Metro Area,,45500,,Central
Mississippi County,Arkansas,05093,"Blytheville, AR",Micro Area,,14180,,Central
Newton County,Arkansas,05101,"Harrison, AR",Micro Area,,25460,,Outlying
Ouachita County,Arkansas,05103,"Camden, AR",Micro Area,,15780,,Central
Perry County,Arkansas,05105,"Little Rock-North Little Rock-Conway, AR",Metro Area,"Little Rock-North Little Rock, AR",30780,340,Outlying
Poinsett County,Arkansas,05111,"Jonesboro, AR",Metro Area,"Jonesboro-Paragould, AR",27860,308,Outlying
Pope County,Arkansas,05115,"Russellville, AR",Micro Area,,40780,,Central
Pulaski County,Arkansas,05119,"Little Rock-North Little Rock-Conway, AR",Metro Area,"Little Rock-North Little Rock, AR",30780,340,Central
St. Francis County,Arkansas,05123,"Forrest City, AR",Micro Area,"Memphis-Clarksdale-Forrest City, TN-MS-AR",22620,368,Central
Saline County,Arkansas,05125,"Little Rock-North Little Rock-Conway, AR",Metro Area,"Little Rock-North Little Rock, AR",30780,340,Central
Sebastian County,Arkansas,05131,"Fort Smith, AR-OK",Metro Area,,22900,,Central
Union County,Arkansas,05139,"El Dorado, AR",Micro Area,,20980,,Central
Washington County,Arkansas,05143,"Fayetteville-Springdale-Rogers, AR",Metro Area,,22220,,Central
White County,Arkansas,05145,"Searcy, AR",Micro Area,"Little Rock-North Little Rock, AR",42620,340,Central
Yell County,Arkansas,05149,"Russellville, AR",Micro Area,,40780,,Outlying
Alameda County,California,06001,"San Francisco-Oakland-Fremont, CA",Metro Area,"San Jose-San Francisco-Oakland, CA",41860,488,Central
Alpine County,California,06003,"Gardnerville Ranchos, NV-CA",Micro Area,"Reno-Carson City-Gardnerville Ranchos, NV-CA",23820,456,Outlying
Butte County,California,06007,"Chico, CA",Metro Area,,17020,,Central
Contra Costa County,California,06013,"San Francisco-Oakland-Fremont, CA",Metro Area,"San Jose-San Francisco-Oakland, CA",41860,488,Outlying
