table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
MSA,pop_2024
".Aberdeen, SD Micro Area","41,522"
".Aberdeen, WA Micro Area","77,893"
".Ada, OK Micro Area","38,310"
".Adrian, MI Micro Area","97,746"
".Alamogordo, NM Micro Area","69,711"
".Alamosa, CO Micro Area","27,924"
".Albemarle, NC Micro Area","67,326"
".Albert Lea, MN Micro Area","30,314"
".Albertville, AL Micro Area","102,156"
".Alexander City, AL Micro Area","40,699"
".Alexandria, MN Micro Area","39,933"
".Alice, TX Micro Area","45,626"
".Alma, MI Micro Area","41,372"
".Alpena, MI Micro Area","28,903"
".Altus, OK Micro Area","24,541"
".Americus, GA Micro Area","33,475"
".Amsterdam, NY Micro Area","49,648"
".Anderson Creek, NC Micro Area","146,096"
".Andrews, TX Micro Area","18,923"
".Angola, IN Micro Area","34,862"
".Arcadia, FL Micro Area","36,744"
".Ardmore, OK Micro Area","49,135"
".Arkadelphia, AR Micro Area","20,920"
".Arkansas City-Winfield, KS Micro Area","34,186"
".Ashland, OH Micro Area","52,420"
".Astoria, OR Micro Area","41,043"
".Atchison, KS Micro Area","16,249"
".Athens, OH Micro Area","63,218"
".Athens, TN Micro Area","70,691"
".Athens, TX Micro Area","87,467"
".Auburn, IN Micro Area","44,330"
".Auburn, NY Micro Area","74,567"
".Augusta-Waterville, ME Micro Area","128,461"
".Austin, MN Micro Area","40,900"
".Bainbridge, GA Micro Area","29,391"
".Baker City, OR Micro Area","16,750"
".Baraboo, WI Micro Area","66,486"
".Barre, VT Micro Area","59,844"
".Bartlesville, OK Micro Area","54,060"
".Batavia, NY Micro Area","57,604"
".Batesville, AR Micro Area","38,345"
".Bay City, TX Micro Area","36,391"
".Beatrice, NE Micro Area","21,687"
".Beaver Dam, WI Micro Area","88,635"
".Bedford, IN Micro Area","45,192"
".Beeville, TX Micro Area","31,226"
".Bellefontaine, OH Micro Area","46,085"
".Bemidji, MN Micro Area","46,762"
".Bennington, VT Micro Area","37,039"
".Big Rapids, MI Micro Area","41,947"
".Big Spring, TX Micro Area","30,833"
".Bishop, CA Micro Area","18,485"
".Blackfoot, ID Micro Area","50,889"
".Bloomsburg-Berwick, PA Micro Area","66,012"
".Bluefield, WV-VA Micro Area","96,399"
".Blytheville, AR Micro Area","38,095"
".Bogalusa, LA Micro Area","45,090"
".Bonham, TX Micro Area","38,650"
".Boone, NC Micro Area","54,997"
".Borger, TX Micro Area","19,721"
".Bradford, PA Micro Area","39,478"
".Brainerd, MN Micro Area","100,084"
".Branson, MO Micro Area","56,744"
".Brattleboro, VT Micro Area","45,627"
".Breckenridge, CO Micro Area","38,251"
".Brenham, TX Micro Area","37,810"
".Brevard, NC Micro Area","34,103"
".Brigham City, UT-ID Micro Area","69,096"
".Brookhaven, MS Micro Area","34,956"
".Brookings, OR Micro Area","22,774"
".Brookings, SD Micro Area","36,359"
".Brownwood, TX Micro Area","38,631"
".Bucyrus, OH Micro Area","41,626"
".Burley, ID Micro Area","48,667"
".Burlington, IA-IL Micro Area","44,459"
".Butte-Silver Bow, MT Micro Area","36,134"
".Cadillac, MI Micro Area","49,699"
".Calhoun, GA Micro Area","60,765"
".Cambridge, MD Micro Area","33,138"
".Cambridge, OH Micro Area","38,219"
".Camden, AR Micro Area","26,374"
".Campbellsville, KY Micro Area","38,361"
".Cañon City, CO Micro Area","50,093"
".Canton, IL Micro Area","32,510"
".Carbondale, IL Micro Area","53,199"
".Carlsbad-Artesia, NM Micro Area","61,436"
".Carroll, IA Micro Area","20,407"
".Cedar City, UT Micro Area","65,936"
".Cedartown, GA Micro Area","44,610"
".Celina, OH Micro Area","42,648"
".Centralia, IL Micro Area","36,437"
".Centralia, WA Micro Area","87,049"
".Charleston-Mattoon, IL Micro Area","46,423"
".Chillicothe, OH Micro Area","76,046"
".Clarksburg, WV Micro Area","88,525"
".Clarksdale, MS Micro Area","20,105"
".Clearlake, CA Micro Area","67,764"
".Cleveland, MS Micro Area","28,395"
".Clewiston, FL Micro Area","59,262"
".Clinton, IA Micro Area","46,015"
".Clovis, NM Micro Area","65,869"
".Cody, WY Micro Area","31,082"
".Coldwater, MI Micro Area","46,187"
".Columbus, MS Micro Area","67,035"
".Columbus, NE Micro Area","46,325"
".Concord, NH Micro Area","157,869"
".Connersville, IN Micro Area","23,335"
".Cookeville, TN Micro Area","149,929"
".Coos Bay-North Bend, OR Micro Area","64,326"
".Corbin, KY Micro Area","149,835"
".Cordele, GA Micro Area","19,468"
".Corinth, MS Micro Area","34,228"
".Cornelia, GA Micro Area","49,665"
".Corning, NY Micro Area","92,015"
".Corsicana, TX Micro Area","56,533"
".Cortland, NY Micro Area","45,945"
".Coshocton, OH Micro Area","37,003"
".Crawfordsville, IN Micro Area","38,633"
".Crescent City, CA Micro Area","27,009"
".Crossville, TN Micro Area","65,618"
".Cullman, AL Micro Area","92,604"
".Cumberland, MD-WV Micro Area","93,875"
".Danville, IL Micro Area","71,106"
".Danville, KY Micro Area","56,304"
".Danville, VA Micro Area","101,403"
".Decatur, IN Micro Area","36,584"
".Defiance, OH Micro Area","38,644"
".Del Rio, TX Micro Area","47,999"
".Deming, NM Micro Area","25,878"
".DeRidder, LA Micro Area","36,695"
".Detroit Lakes, MN Micro Area","35,444"
".Dickinson, ND Micro Area","38,861"
".Dixon, IL Micro Area","33,544"
".Dodge City, KS Micro Area","34,072"
".Douglas, GA Micro Area","52,286"
".Dublin, GA Micro Area","59,465"
".DuBois, PA Micro Area","78,132"
".Dumas, TX Micro Area","21,872"
".Duncan, OK Micro Area","44,075"
".Durango, CO Micro Area","56,823"
".Durant, OK Micro Area","50,305"
".Dyersburg, TN Micro Area","36,403"
".Easton, MD Micro Area","38,244"
".East Stroudsburg, PA Micro Area","166,523"
".Edwards, CO Micro Area","54,330"
".Effingham, IL Micro Area","44,907"
".El Campo, TX Micro Area","42,035"
".El Dorado, AR Micro Area","37,008"
".Elizabeth City, NC Micro Area","41,418"
