FIPS,state,county,pop_2024
01000,Alabama,Alabama,5157699
01001,Alabama,Autauga County,61464
01003,Alabama,Baldwin County,261608
01005,Alabama,Barbour County,24358
01007,Alabama,Bibb County,22258
01009,Alabama,Blount County,60163
01011,Alabama,Bullock County,9901
01013,Alabama,Butler County,18256
01015,Alabama,Calhoun County,116427
01017,Alabama,Chambers County,33813
01019,Alabama,Cherokee County,26138
01021,Alabama,Chilton County,47262
01023,Alabama,Choctaw County,12052
01025,Alabama,Clarke County,22142
01027,Alabama,Clay County,14239
01029,Alabama,Cleburne County,15905
01031,Alabama,Coffee County,56358
01033,Alabama,Colbert County,58785
01035,Alabama,Conecuh County,11109
01037,Alabama,Coosa County,10291
01039,Alabama,Covington County,37748
01041,Alabama,Crenshaw County,13114
01043,Alabama,Cullman County,92604
01045,Alabama,Dale County,50067
01047,Alabama,Dallas County,35545
01049,Alabama,DeKalb County,73122
01051,Alabama,Elmore County,91042
01053,Alabama,Escambia County,36630
01055,Alabama,Etowah County,103207
01057,Alabama,Fayette County,15863
01059,Alabama,Franklin County,31874
01061,Alabama,Geneva County,27259
01063,Alabama,Greene County,7127
01065,Alabama,Hale County,15116
01067,Alabama,Henry County,18141
01069,Alabama,Houston County,109366
01071,Alabama,Jackson County,53780
01073,Alabama,Jefferson County,664744
01075,Alabama,Lamar County,13543
01077,Alabama,Lauderdale County,97502
01079,Alabama,Lawrence County,33567
01081,Alabama,Lee County,187847
01083,Alabama,Limestone County,118942
01085,Alabama,Lowndes County,9485
01087,Alabama,Macon County,18159
01089,Alabama,Madison County,423355
01091,Alabama,Marengo County,18512
01093,Alabama,Marion County,29323
01095,Alabama,Marshall County,102156
01097,Alabama,Mobile County,412339
01099,Alabama,Monroe County,19057
01101,Alabama,Montgomery County,225894
01103,Alabama,Morgan County,126084
01105,Alabama,Perry County,7719
01107,Alabama,Pickens County,18508
01109,Alabama,Pike County,33124
01111,Alabama,Randolph County,23067
01113,Alabama,Russell County,58837
01115,Alabama,St. Clair County,96927
01117,Alabama,Shelby County,235969
01119,Alabama,Sumter County,11607
01121,Alabama,Talladega County,81375
01123,Alabama,Tallapoosa County,40699
01125,Alabama,Tuscaloosa County,241212
01127,Alabama,Walker County,65260
01129,Alabama,Washington County,15018
01131,Alabama,Wilcox County,9865
01133,Alabama,Winston County,23869
02000,Alaska,Alaska,740133
02013,Alaska,Aleutians East Borough,3632
02016,Alaska,Aleutians West Census Area,5424
02020,Alaska,Anchorage Municipality,289600
02050,Alaska,Bethel Census Area,18237
02060,Alaska,Bristol Bay Borough,884
02063,Alaska,Chugach Census Area,6604
02066,Alaska,Copper River Census Area,2631
02068,Alaska,Denali Borough,1621
