OID_,Join_Count,New119Fips,GEOID,NAMELSAD,lat,lon,GEOID_1,STATEFP,CD119FP,GEOIDFQ
1,1,5310,5310,Congressional District 10,46.985072000000002,-122.906121999999996,5310,53,10,5001900US5310
2,1,5310,5310,Congressional District 10,47.037630999999998,-122.898989000000000,5310,53,10,5001900US5310
3,1,5310,5310,Congressional District 10,46.983280000000001,-122.920963000000000,5310,53,10,5001900US5310
4,1,5310,5310,Congressional District 10,47.070363000000000,-122.756727999999995,5310,53,10,5001900US5310
5,1,6998,6998,NA,15.212330000000000,145.754500000000007,6998,69,98,5001900US6998
6,1,5506,5506,Congressional District 6,44.026186000000003,-88.551447999999993,5506,55,06,5001900US5506
7,1,6098,6098,NA,-14.278060000000000,-170.702499999999986,6098,60,98,5001900US6098
8,1,5303,5303,Congressional District 3,45.735740999999997,-122.639137000000005,5303,53,03,5001900US5303
9,1,4904,4904,Congressional District 4,40.123351999999997,-111.634541999999996,4904,49,04,5001900US4904
10,1,4904,4904,Congressional District 4,40.505918000000001,-112.033236000000002,4904,49,04,5001900US4904
11,1,4831,4831,Congressional District 31,31.069545999999999,-97.370655999999997,4831,48,31,5001900US4831
12,1,4831,4831,Congressional District 31,31.076595999999999,-97.347655000000003,4831,48,31,5001900US4831
13,1,4831,4831,Congressional District 31,30.566644000000000,-97.682136000000000,4831,48,31,5001900US4831
14,1,4831,4831,Congressional District 31,31.076128000000001,-97.356588000000002,4831,48,31,5001900US4831
15,1,4831,4831,Congressional District 31,30.573839000000000,-97.655522000000005,4831,48,31,5001900US4831
16,1,4827,4827,Congressional District 27,27.718405000000001,-97.331406999999999,4827,48,27,5001900US4827
17,1,4836,4836,Congressional District 36,29.611782999999999,-95.113539000000003,4836,48,36,5001900US4836
18,1,4836,4836,Congressional District 36,29.580489000000000,-95.114476999999994,4836,48,36,5001900US4836
19,1,4836,4836,Congressional District 36,29.542355000000001,-95.133860999999996,4836,48,36,5001900US4836
20,1,4836,4836,Congressional District 36,29.558097000000000,-95.113782000000000,4836,48,36,5001900US4836
21,1,4806,4806,Congressional District 6,32.850942000000003,-96.950616999999994,4806,48,06,5001900US4806
22,1,4806,4806,Congressional District 6,32.869539000000003,-96.941086999999996,4806,48,06,5001900US4806
23,1,4828,4828,Congressional District 28,27.572879000000000,-99.431402000000006,4828,48,28,5001900US4828
24,1,4216,4216,Congressional District 16,41.982799000000000,-80.225892000000002,4216,42,16,5001900US4216
25,1,4208,4208,Congressional District 8,41.456333000000001,-75.627410999999995,4208,42,08,5001900US4208
26,1,4706,4706,Congressional District 6,36.182099000000001,-85.461511000000002,4706,47,06,5001900US4706
27,1,3503,3503,Congressional District 3,35.671962000000001,-105.955672000000007,3503,35,03,5001900US3503
28,1,3503,3503,Congressional District 3,35.675570000000000,-105.950333999999998,3503,35,03,5001900US3503
29,1,3503,3503,Congressional District 3,35.589905000000002,-105.233187000000001,3503,35,03,5001900US3503
30,1,3503,3503,Congressional District 3,35.594377000000001,-106.039805000000001,3503,35,03,5001900US3503
31,1,3503,3503,Congressional District 3,35.665058999999999,-105.993505999999996,3503,35,03,5001900US3503
32,1,3402,3402,Congressional District 2,39.742125999999999,-74.114136000000002,3402,34,02,5001900US3402
33,1,3402,3402,Congressional District 2,39.501345999999998,-74.529195999999999,3402,34,02,5001900US3402
34,1,3409,3409,Congressional District 9,41.016126000000000,-74.207616999999999,3409,34,09,5001900US3409
35,1,3902,3902,Congressional District 2,39.728768000000002,-83.235274000000004,3902,39,02,5001900US3902
36,1,2702,2702,Congressional District 2,44.838743999999998,-93.109449999999995,2702,27,02,5001900US2702
37,1,2702,2702,Congressional District 2,44.460551000000002,-93.176765000000003,2702,27,02,5001900US2702
38,1,2702,2702,Congressional District 2,44.459605000000003,-93.155575999999996,2702,27,02,5001900US2702
39,1,2702,2702,Congressional District 2,44.799768000000000,-93.125741000000005,2702,27,02,5001900US2702
40,1,2702,2702,Congressional District 2,44.824849999999998,-93.129210000000000,2702,27,02,5001900US2702
41,1,2101,2101,Congressional District 1,38.197394000000003,-84.861044000000007,2101,21,01,5001900US2101
42,1,2101,2101,Congressional District 1,38.151119999999999,-84.893685000000005,2101,21,01,5001900US2101
43,1,2101,2101,Congressional District 1,38.164319999999996,-84.821516000000003,2101,21,01,5001900US2101
44,1,2101,2101,Congressional District 1,36.618299999999998,-88.251059999999995,2101,21,01,5001900US2101
45,1,2002,2002,Congressional District 2,39.045371000000003,-95.676833999999999,2002,20,02,5001900US2002
46,1,2002,2002,Congressional District 2,38.846699000000001,-95.385520000000000,2002,20,02,5001900US2002
47,1,2002,2002,Congressional District 2,38.902732999999998,-95.265777999999997,2002,20,02,5001900US2002
48,1,2002,2002,Congressional District 2,37.390734999999999,-94.704931999999999,2002,20,02,5001900US2002
49,1,2609,2609,Congressional District 9,42.747517000000002,-83.286779999999993,2609,26,09,5001900US2609
50,1,2906,2906,Congressional District 6,39.247593999999999,-94.427575000000004,2906,29,06,5001900US2906
51,1,2906,2906,Congressional District 6,40.193086000000001,-92.588933999999995,2906,29,06,5001900US2906
52,1,2906,2906,Congressional District 6,39.742776999999997,-92.465457999999998,2906,29,06,5001900US2906
53,1,1206,1206,Congressional District 6,29.711711999999999,-82.048942999999994,1206,12,06,5001900US1206
54,1,1206,1206,Congressional District 6,29.190469000000000,-81.049824000000001,1206,12,06,5001900US1206
55,1,1803,1803,Congressional District 3,41.096435999999997,-85.111490000000003,1803,18,03,5001900US1803
56,1,1803,1803,Congressional District 3,41.325308999999997,-85.689819999999997,1803,18,03,5001900US1803
57,1,1306,1313,Congressional District 13,33.790199000000001,-84.625823999999994,1306,13,06,5001900US1306
58,1,1306,1313,Congressional District 13,33.842554000000000,-84.539772999999997,1306,13,06,5001900US1306
59,1,1213,1213,Congressional District 13,27.813822999999999,-82.770824000000005,1213,12,13,5001900US1213
60,1,1213,1213,Congressional District 13,27.782126999999999,-82.776959000000005,1213,12,13,5001900US1213
61,1,1217,1217,Congressional District 17,27.318805000000001,-82.532791000000003,1217,12,17,5001900US1217
62,1,1217,1217,Congressional District 17,27.102760000000000,-82.411165999999994,1217,12,17,5001900US1217
63,1,1703,1703,Congressional District 3,42.009635000000003,-87.964459000000005,1703,17,03,5001900US1703
64,1,1703,1703,Congressional District 3,41.957084000000002,-87.753653999999997,1703,17,03,5001900US1703
65,1,1703,1703,Congressional District 3,41.867313000000003,-88.099413999999996,1703,17,03,5001900US1703
66,1,1703,1703,Congressional District 3,42.020296999999999,-87.920896999999997,1703,17,03,5001900US1703
67,1,1703,1703,Congressional District 3,41.869832000000002,-88.144418000000002,1703,17,03,5001900US1703
68,1,1308,1308,Congressional District 8,33.080865000000003,-83.229444000000001,1308,13,08,5001900US1308
69,1,1301,1301,Congressional District 1,32.026029000000001,-81.063854000000006,1301,13,01,5001900US1301
70,1,106,102,Congressional District 2,32.635016000000000,-86.809379000000007,0106,01,06,5001900US0106
71,1,102,102,Congressional District 2,32.399552999999997,-86.273004999999998,0102,01,02,5001900US0102
72,1,102,102,Congressional District 2,32.383690000000001,-86.132459999999995,0102,01,02,5001900US0102
73,1,104,104,Congressional District 4,34.841709999999999,-87.606650999999999,0104,01,04,5001900US0104
74,1,603,603,Congressional District 3,38.643227000000003,-121.179719000000006,0603,06,03,5001900US0603
75,1,603,603,Congressional District 3,38.762963999999997,-121.243530000000007,0603,06,03,5001900US0603
76,1,603,603,Congressional District 3,39.218003000000003,-121.013400000000004,0603,06,03,5001900US0603
77,1,407,407,Congressional District 7,32.239372000000003,-110.939109000000002,0407,04,07,5001900US0407
