inst_name,inst_street_address,inst_city_name,inst_state_name,ZIP,lat,lon,matched_address,GEOID,STUSPS,NAMELSADCO,STATE_NAME
University of California-Berkeley,119 CALIFORNIA HALL,BERKELEY,California,94720,37.8718862,-122.2603499,"Calfornia Hall, Sather Rd, Berkeley, CA 94709, USA","06001982100",CA,Alameda County,California
Arizona State University,1475 N SCOTTSDALE RD STE 200,SCOTTSDALE,Arizona,85257,33.4641772,-111.9230963,"1475 N Scottsdale Rd #200, Scottsdale, AZ 85257, USA","04013218200",AZ,Maricopa County,Arizona
"Board of Regents, NSHE, obo University of Nevada, Reno",1664 N VIRGINIA ST,RENO,Nevada,89557,39.5489717,-119.8140262,"Orvis School of Nursing, William N and Myriam Pennington Medical Education Bldg, 1664 N Virginia St, Reno, NV 89557, USA","32031001504",NV,Washoe County,Nevada
Michigan State University,426 AUDITORIUM RD RM 360,EAST LANSING,Michigan,48824,42.729666,-84.4815901,"426 Auditorium Rd #360, East Lansing, MI 48824, USA","26065980000",MI,Ingham County,Michigan
Carnegie Mellon University,5000 FORBES AVE,PITTSBURGH,Pennsylvania,15213,40.4432027,-79.9428499,"5000 Forbes Ave, Pittsburgh, PA 15213, USA","42003140100",PA,Allegheny County,Pennsylvania
Stonehill College,320 WASHINGTON ST,NORTH EASTON,Massachusetts,2357,42.0582066,-71.074434,"320 Washington St, North Easton, MA 02357, USA","25005985600",MA,Bristol County,Massachusetts
New York University,70 WASHINGTON SQ S FL 11,NEW YORK,New York,10012,40.7296301,-73.9970777,"70 Washington Square S fl 11, New York, NY 10012, USA","36061006500",NY,New York County,New York
University of Pennsylvania,3451 WALNUT ST,PHILADELPHIA,Pennsylvania,19104,39.9533837,-75.1938205,"Franklin Building, 3451 Walnut St, Philadelphia, PA 19104, USA","42101036902",PA,Philadelphia County,Pennsylvania
Oregon Public Broadcasting,7140 S MACADAM AVE,PORTLAND,Oregon,97219,45.4720123,-122.6711173,"7140 S Macadam Ave, Portland, OR 97219, USA","41051005903",OR,Multnomah County,Oregon
Finger Lakes Community College,3325 MARVIN SANDS DR,CANANDAIGUA,New York,14424,42.8681508,-77.2418897,"3325 Marvin Sands Dr, Canandaigua, NY 14424, USA","36069051200",NY,Ontario County,New York
Western Carolina University,1 UNIVERSITY DR,CULLOWHEE,North Carolina,28723,35.309138,-83.185697,"1 University Dr, Cullowhee, NC 28723, USA","37099950600",NC,Jackson County,North Carolina
"OHIO STATE UNIVERSITY, THE",1960 KENNY RD,COLUMBUS,Ohio,43210,39.9994498,-83.0337256,"Research Foundation Bldg, 1960 Kenny Rd, Columbus, OH 43210, USA","39049001122",OH,Franklin County,Ohio
San Jose State University Foundation,1 WASHINGTON SQ,SAN JOSE,California,95112,37.3360786,-121.8804535,"1 Washington Sq, San Jose, CA 95192, USA","06085500901",CA,Santa Clara County,California
University of Hawaii System,2444 DOLE ST # 202,HONOLULU,Hawaii,96822,21.2974369,-157.8200819,"Bachman Hall, 2444 Dole St #202, Honolulu, HI 96822, USA","15003002701",HI,Honolulu County,Hawaii
Mohave Community College,1971 JAGERSON AVE,KINGMAN,Arizona,86409,35.2706115,-114.0302174,"1971 Jagerson Ave, Kingman, AZ 86409, USA","04015950708",AZ,Mohave County,Arizona
Department of Navy Naval Facilities Engineering Command,,Arlington,Virginia,20350,38.8710071,-77.0559703,"Washington, VA 20350, USA","51013980100",VA,Arlington County,Virginia
History Colorado,1200 N BROADWAY,DENVER,Colorado,80203,39.7489202,-104.9873656,"1200 N Broadway, Denver, CO 80205, USA","08031002405",CO,Denver County,Colorado
Detroit Area Pre-College Engineering Program Inc,2111 WOODWARD AVE # 506-1,DETROIT,Michigan,48201,42.337606,-83.0517853,"2111 Woodward Ave 506 1, Detroit, MI 48201, USA","26163520700",MI,Wayne County,Michigan
"Science Communication Lab, Inc.",125 STONEWALL RD,BERKELEY,California,94705,37.8626454,-122.2435733,"125 Stonewall Rd, Berkeley, CA 94705, USA","06001400100",CA,Alameda County,California
Towson University,8000 YORK RD BLDG HP6110L,TOWSON,Maryland,21252,39.3949182,-76.6053069,"Prettyman Hall, 8000 York Rd, Towson, MD 21252, USA","24005490605",MD,Baltimore County,Maryland
