org_name.nih,org_city.nih,org_state.nih,lat.nih,lon.nih,org_name.nsf,org_city.nsf,org_state.nsf,lat.nsf,lon.nsf,org_name,org_city,org_state,lat,lon
Academic Pediatric Association,Mc Lean,VA,38.93747,-77.17694,NA,NA,NA,NA,NA,Academic Pediatric Association,Mc Lean,VA,38.93747,-77.17694
Access Health Inc.,Muskegon,MI,43.23096,-86.24311,NA,NA,NA,NA,NA,Access Health Inc.,Muskegon,MI,43.23096,-86.24311
"Accurius Therapeutics, Inc.",Lexington,MA,42.45835,-71.20621,NA,NA,NA,NA,NA,"Accurius Therapeutics, Inc.",Lexington,MA,42.45835,-71.20621
NA,NA,NA,NA,NA,Alabama A&M University,Normal,AL,34.78387,-86.57757,Alabama A&M University,Normal,AL,34.78387,-86.57757
Alabama State University,Montgomery,AL,32.36501,-86.2957,NA,NA,NA,NA,NA,Alabama State University,Montgomery,AL,32.36501,-86.2957
NA,NA,NA,NA,NA,Alamo Community College District - St. Philip's College,San Antonio,TX,29.41679,-98.45476,Alamo Community College District - St. Philip's College,San Antonio,TX,29.41679,-98.45476
Albert Einstein College of Medicine,Bronx,NY,40.85103,-73.84438,NA,NA,NA,NA,NA,Albert Einstein College of Medicine,Bronx,NY,40.85103,-73.84438
NA,NA,NA,NA,NA,Allan Hancock College,Santa Maria,CA,34.94444,-120.41884,Allan Hancock College,Santa Maria,CA,34.94444,-120.41884
NA,NA,NA,NA,NA,Allegheny College,Meadville,PA,41.65897,-80.14984,Allegheny College,Meadville,PA,41.65897,-80.14984
Allen Institute,Seattle,WA,47.65008,-122.3516,NA,NA,NA,NA,NA,Allen Institute,Seattle,WA,47.65008,-122.3516
NA,NA,NA,NA,NA,Alverno College,Milwaukee,WI,42.98327,-87.96656,Alverno College,Milwaukee,WI,42.98327,-87.96656
NA,NA,NA,NA,NA,American Association of Physics Teachers,College Park,MD,38.97155,-76.92997,American Association of Physics Teachers,College Park,MD,38.97155,-76.92997
NA,NA,NA,NA,NA,American Bar Foundation,Chicago,IL,41.89619,-87.61717,American Bar Foundation,Chicago,IL,41.89619,-87.61717
American Gastroenterological Association Institute,Bethesda,MD,38.98933,-77.0992,NA,NA,NA,NA,NA,American Gastroenterological Association Institute,Bethesda,MD,38.98933,-77.0992
NA,NA,NA,NA,NA,American Indian Science and Engineering Society (AISES),Albuquerque,NM,35.15676,-106.68004,American Indian Science and Engineering Society (AISES),Albuquerque,NM,35.15676,-106.68004
