org_name.x,org_city.x,org_state.x,lat.x,lon.x,org_name.y,org_city.y,org_state.y,lat.y,lon.y,org_name.dist,org_city.dist,org_state.dist,org_name
American Psychological Association,Washington,DC,38.89984,-77.00754,American Geophysical Union,Washington,DC,38.9146463,-77.0451893,0.278855132,5.55E-17,5.55E-17,NA
American Psychological Association,Washington,DC,38.89984,-77.00754,American Society for Microbiology,Washington,DC,38.907049,-77.0404242,0.288563383,5.55E-17,5.55E-17,NA
American Society for Bone & Mineral Research,Washington,DC,38.90596,-77.04579,American Association for the Advancement of Science,Washington,DC,38.9002785,-77.0285562,0.280005942,5.55E-17,5.55E-17,NA
American Society for Bone & Mineral Research,Washington,DC,38.90596,-77.04579,American Society for Engineering Education,Washington,DC,38.9070235,-77.0429354,0.234173533,5.55E-17,5.55E-17,NA
American Society for Bone & Mineral Research,Washington,DC,38.90596,-77.04579,American Society for Microbiology,Washington,DC,38.907049,-77.0404242,0.220258137,5.55E-17,5.55E-17,NA
"American Society of Nephrology, Inc.",Washington,DC,38.89999,-77.03432,American Society for Engineering Education,Washington,DC,38.9070235,-77.0429354,0.257936508,5.55E-17,5.55E-17,NA
"American Society of Nephrology, Inc.",Washington,DC,38.89999,-77.03432,American Society for Microbiology,Washington,DC,38.907049,-77.0404242,0.199494949,5.55E-17,5.55E-17,NA
American University,Washington,DC,38.93695,-77.08947,American Chemical Society (ACS),Washington,DC,38.9052361,-77.0360453,0.294324521,5.55E-17,5.55E-17,NA
American University,Washington,DC,38.93695,-77.08947,American Geophysical Union,Washington,DC,38.9146463,-77.0451893,0.253753374,5.55E-17,5.55E-17,NA
American University,Washington,DC,38.93695,-77.08947,American Society for Microbiology,Washington,DC,38.907049,-77.0404242,0.296438065,5.55E-17,5.55E-17,NA
American University,Washington,DC,38.93695,-77.08947,Georgetown University,Washington,DC,38.9086668,-77.0744343,0.246449457,5.55E-17,5.55E-17,NA
Auburn University at Auburn,Auburn,AL,32.60214,-85.5085,Auburn University,Auburn,AL,32.6053962,-85.4814237,0.12345679,5.55E-17,5.55E-17,Auburn University
Bentley University,Waltham,MA,42.38883,-71.22023,Brandeis University,Waltham,MA,42.3680873,-71.2567952,0.292745753,5.55E-17,5.55E-17,NA
Boston University,Boston,MA,42.33639,-71.07097,Northeastern University,Boston,MA,42.3403691,-71.089389,0.277379937,5.55E-17,5.55E-17,NA
Boston University,Boston,MA,42.33639,-71.07097,Trustees of Boston University,Boston,MA,42.349689,-71.100088,0.29479378,5.55E-17,5.55E-17,Boston University
Boston University,Boston,MA,42.34959,-71.09973,Northeastern University,Boston,MA,42.3403691,-71.089389,0.277379937,5.55E-17,5.55E-17,NA
Boston University,Boston,MA,42.34959,-71.09973,Trustees of Boston University,Boston,MA,42.349689,-71.100088,0.29479378,5.55E-17,5.55E-17,Boston University
"California Polytechnic State University, San Luis Obispo",San Luis Obispo,CA,35.29932,-120.65662,California Polytechnic State University Foundation,San Luis Obispo,CA,35.3048842,-120.6572573,0.117328042,5.55E-17,5.55E-17,California Polytechnic State University
California State University - Dominguez Hills,Carson,CA,33.86714,-118.25534,California State University-Dominguez Hills Foundation,Carson,CA,33.8633881,-118.2544095,0.129741863,5.55E-17,5.55E-17,California State University - Dominguez Hills
California State University Long Beach,Long Beach,CA,33.7811,-118.1099,California State University-Long Beach Foundation,Long Beach,CA,33.7811708,-118.1102798,0.123075546,5.55E-17,5.55E-17,California State University Long Beach
California State University Los Angeles,Los Angeles,CA,34.06254,-118.16904,University of California-Los Angeles,Los Angeles,CA,34.0591198,-118.4434761,0.22047397,5.55E-17,5.55E-17,NA
California State University Northridge,Northridge,CA,34.24588,-118.50188,"The University Corporation, Northridge",Northridge,CA,34.2401018,-118.5293265,0.251839276,5.55E-17,5.55E-17,California State University Northridge
California State University Sacramento,Sacramento,CA,38.55385,-121.42126,Claremont Graduate University,Claremont,CA,34.1029965,-117.7143748,0.273345433,0.293121693,5.55E-17,NA
California State University San Bernardino,San Bernardino,CA,34.17678,-117.33018,San Diego State University Foundation,San Diego,CA,32.7722404,-117.0723063,0.243506179,0.288359788,5.55E-17,NA
California State University San Bernardino,San Bernardino,CA,34.17678,-117.33018,University of California-San Francisco,San Francisco,CA,37.7673395,-122.4150481,0.293866386,0.258648759,5.55E-17,NA
California State University San Marcos,San Marcos,CA,33.13799,-117.15109,California State University San Marcos Corporation,San Marcos,CA,33.1313513,-117.1581182,0.08,5.55E-17,5.55E-17,California State University San Marcos
California State University San Marcos,San Marcos,CA,33.13799,-117.15109,San Francisco State University,San Francisco,CA,37.722765,-122.4767349,0.296491228,0.20997151,5.55E-17,NA
California State University San Marcos,San Marcos,CA,33.13799,-117.15109,University of California-San Francisco,San Francisco,CA,37.7673395,-122.4150481,0.273344652,0.20997151,5.55E-17,NA
Carnegie-Mellon University,Pittsburgh,PA,40.44296,-79.94108,Carnegie Mellon University,Pittsburgh,PA,40.4432027,-79.9428499,0.065641026,5.55E-17,5.55E-17,Carnegie Mellon University
Carnegie-Mellon University,Pittsburgh,PA,40.44296,-79.94108,Carnegie Mellon University,Pittsburgh,PA,40.4434014,-79.9465049,0.065641026,5.55E-17,5.55E-17,Carnegie Mellon University
Children's Hospital of Los Angeles,Los Angeles,CA,34.09806,-118.29069,University of California-Los Angeles,Los Angeles,CA,34.0591198,-118.4434761,0.292818837,5.55E-17,5.55E-17,NA
Clark Atlanta University,Atlanta,GA,33.74773,-84.41301,Albany State University,Albany,GA,31.5734365,-84.1425655,0.241450547,0.253968254,5.55E-17,NA
Dillard University,New Orleans,LA,29.99621,-90.06596,Tulane University,New Orleans,LA,29.9354069,-90.1227528,0.286408581,5.55E-17,5.55E-17,NA
Drexel University,Philadelphia,PA,39.95407,-75.18654,La Salle University,Philadelphia,PA,40.0377211,-75.1521973,0.209335556,5.55E-17,5.55E-17,NA
Drexel University,Philadelphia,PA,39.95407,-75.18654,Temple University,Philadelphia,PA,39.9802697,-75.1572667,0.141456583,5.55E-17,5.55E-17,NA
Florida A&M University,Tallahassee,FL,30.42891,-84.28977,Florida State University,Tallahassee,FL,30.4418129,-84.2972417,0.202618288,5.55E-17,5.55E-17,NA
Florida State University,Tallahassee,FL,30.44146,-84.29789,Florida Agricultural and Mechanical University,Tallahassee,FL,30.4257798,-84.2828722,0.285024155,5.55E-17,5.55E-17,NA
Fordham University,Bronx,NY,40.86209,-73.88639,Manhattan University,Bronx,NY,40.8900888,-73.9008009,0.273361823,5.55E-17,5.55E-17,NA
George Washington University,Washington,DC,38.89808,-77.04393,Georgetown University,Washington,DC,38.9086668,-77.0744343,0.211111111,5.55E-17,5.55E-17,NA
Georgetown University,Washington,DC,38.90521,-77.07547,American University,Washington,DC,38.9358928,-77.0908124,0.246449457,5.55E-17,5.55E-17,NA
Georgetown University,Washington,DC,38.90521,-77.07547,George Washington University,Washington,DC,38.8971202,-77.0443189,0.211111111,5.55E-17,5.55E-17,NA
Georgia State University,Atlanta,GA,33.75353,-84.38448,"Georgia State University Research Foundation, Inc..",Atlanta,GA,33.7547395,-84.387099,0.176470588,5.55E-17,5.55E-17,Georgia State University
Gerontological Society of America,Washington,DC,38.90339,-77.02915,Ecological Society of America,Washington,DC,38.905382,-77.0445894,0.213224196,5.55E-17,5.55E-17,NA
Hennepin Healthcare Research Institute,Minneapolis,MN,44.9721,-93.2624,Healthpartners Institute,Minneapolis,MN,44.8556156,-93.2278842,0.290395372,5.55E-17,5.55E-17,NA
Louisiana State University A&M College Baton Rouge,Baton Rouge,LA,30.40802,-91.18867,Louisiana State University,Baton Rouge,LA,30.413992,-91.1784448,0.16,5.55E-17,5.55E-17,Louisiana State University
Loyola University of Chicago,Chicago,IL,41.89738,-87.62424,University of Chicago,Chicago,IL,41.7895737,-87.6009163,0.242063492,5.55E-17,5.55E-17,NA
Loyola University of Chicago,Chicago,IL,41.89738,-87.62424,University of Illinois at Chicago,Chicago,IL,41.8711529,-87.6671751,0.284361472,5.55E-17,5.55E-17,NA
Lurie Children's Hospital of Chicago,Chicago,IL,41.89666,-87.62292,University of Illinois at Chicago,Chicago,IL,41.8711529,-87.6671751,0.291504792,5.55E-17,5.55E-17,NA
Montana State University - Bozeman,Bozeman,MT,45.66196,-111.05994,Montana State University,Bozeman,MT,45.6674929,-111.0492914,0.098039216,5.55E-17,5.55E-17,Montana State University - Bozeman
Morehouse School of Medicine,Atlanta,GA,33.74661,-84.41478,Morehouse College,Atlanta,GA,33.7462136,-84.4140618,0.225490196,5.55E-17,5.55E-17,Morehouse College
New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557,New Mexico Highlands University,Las Vegas,NM,35.5899682,-105.233208,0.267520279,0.244444444,5.55E-17,NA
New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557,New Mexico State University,Las Cruces,NM,32.2788512,-106.7539514,0.096491228,5.55E-17,5.55E-17,New Mexico State University Las Cruces
New School University,New York,NY,40.73538,-73.99724,New York University,New York,NY,40.7296301,-73.9970777,0.131996658,5.55E-17,5.55E-17,NA
New York Blood Center,New York,NY,40.76519,-73.95992,New York University,New York,NY,40.7296301,-73.9970777,0.283529336,5.55E-17,5.55E-17,NA
North Carolina A&T State University,Greensboro,NC,36.07418,-79.77596,North Carolina Agricultural & Technical State University,Greensboro,NC,36.0719612,-79.7759192,0.210714286,5.55E-17,5.55E-17,North Carolina A&T State University
North Carolina Department of Health and Human Services,Raleigh,NC,35.67064,-78.66373,North Carolina State University,Raleigh,NC,35.7865273,-78.6815923,0.265232975,5.55E-17,5.55E-17,NA
North Carolina State University Raleigh,Raleigh,NC,35.78468,-78.67723,North Carolina State University,Raleigh,NC,35.7865273,-78.6815923,0.068376068,5.55E-17,5.55E-17,North Carolina State University Raleigh
Northeastern University,Boston,MA,42.34005,-71.08889,Trustees of Boston University,Boston,MA,42.349689,-71.100088,0.295720561,5.55E-17,5.55E-17,NA
Oklahoma State University Stillwater,Stillwater,OK,36.11563,-97.05804,Oklahoma State University,Stillwater,OK,36.1219649,-97.0706828,0.101851852,5.55E-17,5.55E-17,Oklahoma State University Stillwater
