org_name,org_city,org_state,org_name_fixed
BOARD OF REGENTS OF NEVADA SYSTEM OF HIGHER EDUCATION,LAS VEGAS,NV,UNIVERSITY OF NEVADA LAS VEGAS
BRIGHAM & WOMENS HOSPITAL INC,BOSTON,MA,BRIGHAM AND WOMEN'S HOSPITAL
GEORGE WASHINGTON UNIVERSITY (THE),WASHINGTON,DC,GEORGE WASHINGTON UNIVERSITY
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,ATLANTA,GA,GEORGIA STATE UNIVERSITY
HARVARD COLLEGE PRESIDENT & FELLOWS OF,BOSTON,MA,HARVARD UNIVERSITY
HMH HOSPITALS CORPORATION,EDISON,NJ,HACKENSACK UNIVERSITY MEDICAL CENTER
KECK GRADUATE INSTITUTE OF APPLIED LIFE SCIENCES,CLAREMONT,CA,KECK GRADUATE INST OF APPLIED LIFE SCIS
MAYO CLINIC,ROCHESTER,MN,MAYO CLINIC ROCHESTER
"OHIO STATE UNIVERSITY, THE",COLUMBUS,OH,OHIO STATE UNIVERSITY
PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,MA,HARVARD UNIVERSITY
PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,HARVARD UNIVERSITY
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,CHARLOTTESVILLE,VA,UNIVERSITY OF VIRGINIA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",SAN FRANCISCO,CA,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO"
REGENTS OF THE UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,UNIVERSITY OF MICHIGAN AT ANN ARBOR
REGENTS OF THE UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,UNIVERSITY OF MINNESOTA
RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,NEWARK,NJ,RUTGERS THE STATE UNIV OF NJ NEWARK
SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CA,"SCRIPPS RESEARCH INSTITUTE, THE"
TEACHERS COLLEGE COLUMBIA UNIVERSITY,NEW YORK,NY,COLUMBIA UNIVERSITY TEACHERS COLLEGE
TEXAS A & M UNIVERSITY SYSTEM HEALTH SCIENCE CENTER,COLLEGE STATION,TX,TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR
THE ADMINISTRATORS OF TULANE EDUCATIONAL FUND,NEW ORLEANS,LA,TULANE UNIVERSITY OF LOUISIANA
THE GENERAL HOSPITAL CORPORATION,BOSTON,MA,MASSACHUSETTS GENERAL HOSPITAL
THE JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,JOHNS HOPKINS UNIVERSITY
THE LELAND STANFORD JUNIOR UNIVERSITY,STANFORD,CA,STANFORD UNIVERSITY
THE MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SC,MEDICAL UNIVERSITY OF SOUTH CAROLINA
THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,STONY BROOK,NY,STATE UNIVERSITY NEW YORK STONY BROOK
THE SPAULDING REHABILITATION HOSPITAL CORPORATION,CHARLESTOWN,MA,MASSACHUSETTS GENERAL HOSPITAL
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,NEW YORK,NY,COLUMBIA UNIVERSITY HEALTH SCIENCES
THE UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES,ORLANDO,FL,UNIVERSITY OF CENTRAL FLORIDA
THE UNIVERSITY OF IOWA,IOWA CITY,IA,UNIVERSITY OF IOWA
THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,DALLAS,TX,UT SOUTHWESTERN MEDICAL CENTER
"TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA, THE",PHILADELPHIA,PA,UNIVERSITY OF PENNSYLVANIA
TRUSTEES OF TUFTS COLLEGE,BOSTON,MA,TUFTS UNIVERSITY BOSTON
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",LOS ANGELES,CA,UNIVERSITY OF CALIFORNIA LOS ANGELES
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",SANTA BARBARA,CA,UNIVERSITY OF CALIFORNIA SANTA BARBARA
UNIVERSITY OF ILLINOIS,CHICAGO,IL,UNIVERSITY OF ILLINOIS AT CHICAGO
"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE",LEXINGTON,KY,UNIVERSITY OF KENTUCKY
"UNIVERSITY OF MARYLAND, COLLEGE PARK",COLLEGE PARK,MD,"UNIV OF MARYLAND, COLLEGE PARK"
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,WORCESTER,MA,UNIV OF MASSACHUSETTS MED SCH WORCESTER
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,UNIV OF NORTH CAROLINA CHAPEL HILL
UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PITTSBURGH,PA,UNIVERSITY OF PITTSBURGH AT PITTSBURGH
UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,GALVESTON,TX,UNIVERSITY OF TEXAS MED BR GALVESTON
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,NEW YORK,NY,WEILL MEDICAL COLL OF CORNELL UNIV
YALE UNIV,NEW HAVEN,CT,YALE UNIVERSITY
