org_name,org_city,org_state
Carnegie Mellon University,PITTSBURGH,PA
Utah State University,LOGAN,UT
University of Arizona,TUCSON,AZ
University of Pittsburgh,PITTSBURGH,PA
University of Nebraska-Lincoln,LINCOLN,NE
WestEd,SAN FRANCISCO,CA
University of Texas at San Antonio,SAN ANTONIO,TX
University of Washington,Seattle,WA
Arizona State University,SCOTTSDALE,AZ
TERC Inc,CAMBRIDGE,MA
Purdue University,WEST LAFAYETTE,IN
University of New Mexico,ALBUQUERQUE,NM
University of Texas at El Paso,EL PASO,TX
Juniata College,HUNTINGDON,PA
The Texas A&M University System HSC,COLLEGE STATION,TX
SRI International,MENLO PARK,CA
Colorado State University-Pueblo,PUEBLO,CO
Johns Hopkins University,BALTIMORE,MD
Oregon State University,CORVALLIS,OR
University of California-Berkeley,BERKELEY,CA
University of Maryland Baltimore County,BALTIMORE,MD
CUNY College of Staten Island,STATEN ISLAND,NY
Oklahoma State University,STILLWATER,OK
New York University,NEW YORK,NY
St. Catherine University,SAINT PAUL,MN
North Carolina State University,RALEIGH,NC
San Francisco State University,SAN FRANCISCO,CA
California State University-Fresno Foundation,FRESNO,CA
University of South Alabama,MOBILE,AL
Regents of the University of Michigan - Ann Arbor,ANN ARBOR,MI
"Board of Regents, NSHE, obo University of Nevada, Reno",RENO,NV
University of Minnesota-Twin Cities,MINNEAPOLIS,MN
California Polytechnic State University Foundation,SAN LUIS OBISPO,CA
University of Washington,SEATTLE,WA
"University of Maryland, College Park",COLLEGE PARK,MD
Florida Gulf Coast University,FORT MYERS,FL
University of Virginia Main Campus,CHARLOTTESVILLE,VA
University of California-Irvine,IRVINE,CA
Colorado State University,FORT COLLINS,CO
University of Georgia Research Foundation Inc,ATHENS,GA
University of California-Davis,DAVIS,CA
MOLLOY UNIVERSITY,ROCKVILLE CENTRE,NY
North Dakota State University Fargo,FARGO,ND
Benedictine University,LISLE,IL
Northeastern University,BOSTON,MA
University of California-Santa Barbara,SANTA BARBARA,CA
San Jose State University Foundation,SAN JOSE,CA
Michigan State University,EAST LANSING,MI
University of South Carolina at Columbia,COLUMBIA,SC
Family Health International,DURHAM,NC
South Dakota School of Mines and Technology,RAPID CITY,SD
University of Cincinnati Main Campus,CINCINNATI,OH
San Diego State University Foundation,SAN DIEGO,CA
"California State University, East Bay Foundation, Inc.",HAYWARD,CA
Georgia Tech Research Corporation,ATLANTA,GA
University of North Carolina Greensboro,GREENSBORO,NC
Northwestern University,EVANSTON,IL
Case Western Reserve University,CLEVELAND,OH
Horizon Research Inc,CHAPEL HILL,NC
University of Oregon Eugene,EUGENE,OR
CUNY Queensborough Community College,BAYSIDE,NY
