,NIH AWARDS ($M),"Jobs Created per $1M NIH Awards	",Intrastate Jobs,"Added Interstate Activity  (Jobs, %)",Interstate Jobs,TOTAL EMPLOYMENT,TOTAL ECONOMIC ACTIVITY ($M)
Alabama,351.6,9.2,"3,251.3",24.5,796.9,"4,048.1",865.8
Alaska,16.3,7.8,127.5,137.4,175.3,302.8,64.8
Arizona,397.1,10.2,"4,045.5",34.4,"1,392.1","5,437.6","1,166.4"
Arkansas,95.3,8.8,841.9,58.4,492.0,"1,333.9",267.5
California,"5,243.9",8.8,"46,138.8",17.7,"8,187.0","54,325.7","14,070.9"
Colorado,579.5,9.6,"5,578.3",21.9,"1,224.3","6,802.5","1,623.1"
Connecticut,825.7,7.6,"6,300.6",11.1,696.4,"6,997.0","1,878.1"
Delaware,94.4,5.5,517.3,35.5,183.4,700.8,222.1
District of Columbia,206.0,1.6,338.7,31.2,105.7,444.4,406.0
Florida,928.3,11.2,"10,437.4",43.5,"4,544.7","14,982.0","2,981.8"
Georgia,788.6,11.8,"9,306.1",24.9,"2,317.2","11,623.3","2,316.2"
Hawaii,66.7,9.1,607.4,48.5,294.5,901.9,188.7
Idaho,30.1,9.2,277.7,116.9,324.5,602.2,125.4
Illinois,"1,255.8",9.9,"12,381.7",20.1,"2,489.7","14,871.4","3,592.4"
Indiana,409.2,8.8,"3,616.1",32.8,"1,187.3","4,803.4","1,100.9"
Iowa,197.4,7.9,"1,555.8",40.3,626.7,"2,182.5",484.8
Kansas,143.2,8.1,"1,161.8",43.9,510.4,"1,672.1",395.6
Kentucky,231.4,8.6,"1,982.5",34.4,681.4,"2,663.9",604.9
Louisiana,200.3,9.8,"1,970.5",45.2,890.1,"2,860.6",554.2
Maine,120.3,9.3,"1,122.4",22.7,255.2,"1,377.7",280.4
Maryland,"2,136.8",8.4,"17,960.4",6.5,"1,169.3","19,129.7","4,679.4"
Massachusetts,"3,410.6",7.9,"26,853.0",5.6,"1,514.2","28,367.3","7,639.7"
Michigan,"1,001.2",9.7,"9,730.0",16.9,"1,640.3","11,370.3","2,550.7"
Minnesota,725.0,9.1,"6,587.2",17.4,"1,148.1","7,735.3","1,791.8"
Mississippi,57.7,8.9,512.7,80.5,412.6,925.3,185.8
Missouri,882.1,8.6,"7,574.0",12.8,968.1,"8,542.1","2,074.0"
Montana,50.3,9.2,464.4,44.8,208.1,672.5,132.8
Nebraska,140.9,9.2,"1,290.1",37.3,481.8,"1,771.9",364.6
Nevada,41.9,8.7,365.3,174.0,635.7,"1,001.0",221.9
New Hampshire,144.8,7.0,"1,020.4",21.8,222.2,"1,242.6",349.6
New Jersey,465.4,8.8,"4,106.3",41.4,"1,700.1","5,806.4","1,513.5"
New Mexico,133.0,7.8,"1,036.2",33.1,343.3,"1,379.4",309.6
New York,"3,500.6",7.1,"24,975.6",17.3,"4,318.2","29,293.8","8,251.9"
North Carolina,"1,713.2",9.7,"16,624.6",11.5,"1,912.7","18,537.3","4,285.9"
North Dakota,20.9,7.4,155.1,118.8,184.3,339.4,77.2
Ohio,"1,007.6",9.9,"9,984.7",22.6,"2,251.7","12,236.4","2,627.8"
Oklahoma,165.3,10.5,"1,742.2",42.2,735.2,"2,477.4",465.5
Oregon,420.9,8.8,"3,723.3",20.4,759.2,"4,482.6","1,021.4"
Pennsylvania,"2,268.4",8.5,"19,255.9",10.7,"2,063.5","21,319.5","5,454.6"
Rhode Island,241.8,7.4,"1,791.2",9.1,163.6,"1,954.7",503.2
South Carolina,259.2,10.3,"2,680.9",33.3,891.5,"3,572.4",749.5
South Dakota,28.8,8.3,238.6,80.9,193.1,431.7,89.9
Tennessee,826.3,10.0,"8,292.4",15.2,"1,262.8","9,555.2","2,224.4"
Texas,"1,888.2",11.8,"22,354.2",30.9,"6,900.7","29,254.9","6,150.8"
Utah,299.2,11.5,"3,426.5",23.6,808.4,"4,234.9",821.8
Vermont,52.4,7.5,395.6,25.2,99.6,495.2,120.5
Virginia,614.5,8.5,"5,235.1",30.7,"1,608.0","6,843.1","1,698.1"
Washington,"1,264.3",7.8,"9,844.5",17.2,"1,692.8","11,537.4","3,056.0"
West Virginia,50.3,7.7,387.0,65.8,254.7,641.8,140.5
Wisconsin,576.6,9.4,"5,415.3",21.1,"1,140.2","6,555.5","1,365.2"
Wyoming,11.6,7.8,89.8,147.2,132.2,222.0,45.3
