state_name,state,econ_mult,job_val,state_FIPS
Alaska,AK,3.975460122699386,7.8e-6,02
Alabama,AL,2.4624573378839587,9.2e-6,01
Arkansas,AR,2.8069254984260232,8.8e-6,05
Arizona,AZ,2.9372953915890205,1.02e-5,04
California,CA,2.683289155018212,8.8e-6,06
Colorado,CO,2.800862812769629,9.6e-6,08
Connecticut,CT,2.274554923095555,7.599999999999999e-6,09
District of Columbia,DC,1.970873786407767,1.6e-6,11
Delaware,DE,2.3527542372881354,5.5e-6,10
Florida,FL,3.212108154691372,1.12e-5,12
Georgia,GA,2.937103728125792,1.18e-5,13
Hawaii,HI,2.829085457271364,9.1e-6,15
Iowa,IA,2.4559270516717326,7.9e-6,19
Idaho,ID,4.166112956810632,9.2e-6,16
Illinois,IL,2.8606465997770347,9.9e-6,17
Indiana,IN,2.6903714565004893,8.8e-6,18
Kansas,KS,2.762569832402235,8.1e-6,20
Kentucky,KY,2.614088159031979,8.599999999999999e-6,21
Louisiana,LA,2.7668497254118822,9.8e-6,22
Massachusetts,MA,2.2399870990441566,7.9e-6,25
Maryland,MD,2.189910146012729,8.400000000000001e-6,24
Maine,ME,2.330839567747298,9.3e-6,23
Michigan,MI,2.5476428286056727,9.7e-6,26
Minnesota,MN,2.471448275862069,9.1e-6,27
Missouri,MO,2.3512073461058836,8.599999999999999e-6,29
Mississippi,MS,3.220103986135182,8.900000000000001e-6,28
Montana,MT,2.6401590457256465,9.2e-6,30
North Carolina,NC,2.5016927387345316,9.7e-6,37
North Dakota,ND,3.69377990430622,7.4e-6,38
Nebraska,NE,2.58765081618169,9.2e-6,31
New Hampshire,NH,2.414364640883978,7e-6,33
New Jersey,NJ,3.252041254834551,8.8e-6,34
New Mexico,NM,2.3278195488721805,7.8e-6,35
Nevada,NV,5.2959427207637235,8.7e-6,32
New York,NY,2.3572816088670514,7.1e-6,36
Ohio,OH,2.607979356887654,9.9e-6,39
Oklahoma,OK,2.8160919540229883,1.05e-5,40
Oregon,OR,2.426704680446662,8.8e-6,41
Pennsylvania,PA,2.40460236289896,8.5e-6,42
Rhode Island,RI,2.081058726220016,7.4e-6,44
South Carolina,SC,2.89158950617284,1.03e-5,45
South Dakota,SD,3.1215277777777777,8.3e-6,46
Tennessee,TN,2.6920004840856833,1e-5,47
Texas,TX,3.2574939095434807,1.18e-5,48
Utah,UT,2.746657754010695,1.15e-5,49
Virginia,VA,2.7633848657445075,8.5e-6,51
Vermont,VT,2.299618320610687,7.5e-6,50
Washington,WA,2.4171478288380923,7.8e-6,53
Wisconsin,WI,2.367672563302116,9.4e-6,55
West Virginia,WV,2.79324055666004,7.7e-6,54
Wyoming,WY,3.905172413793103,7.8e-6,56
American Samoa,AS,2.57,8.9e-6,60
Guam,GU,2.57,8.9e-6,66
Northern Mariana Islands,MP,2.57,8.9e-6,69
Puerto Rico,PR,2.57,8.9e-6,72
Virgin Islands,VI,2.57,8.9e-6,78
