org_name,tractid,FIPS,lat,lon
UNIVERSITY OF ARIZONA,04019000501,04019,32.23284,-110.95947
UNIVERSITY OF ALABAMA AT BIRMINGHAM,01073004502,01073,33.50591,-86.79977
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,04013318700,04013,33.42395,-111.94069
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,06075060703,06075,37.77598,-122.39297
SOUTHEAST ARIZONA AREA HEALTH EDUCATION CENTER,04023966401,04023,31.3407,-110.96079
ARKANSAS CANCER COALITION,05119001501,05119,34.75984,-92.34041
CAMPESINOS SIN FRONTERAS,04027011505,04027,32.59632,-114.7127
YUKON-KUSKOKWIM HEALTH CORPORATION,02050000100,02050,60.94,-164.62
MAYO CLINIC ARIZONA,04013216858,04013,33.58911,-111.79394
TRANSLATIONAL GENOMICS RESEARCH INST,04013113100,04013,33.45298,-112.06631
NORTHERN ARIZONA UNIVERSITY,04005001000,04005,35.19257,-111.65676
UNIVERSITY OF SOUTH ALABAMA,01097003606,01097,30.68897,-88.18983
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,05143011301,05143,36.06992,-94.17696
PHOENIX CHILDREN'S HOSPITAL,04013111602,04013,33.47889,-112.04043
UNIVERSITY OF ALABAMA IN TUSCALOOSA,01125011200,01125,33.21566,-87.53919
UNIV OF ARKANSAS FOR MED SCIS,05119980200,05119,34.749,-92.3201
ENDOTAT BIOTECHNOLOGIES LLC,04013615001,04013,33.6938,-111.99956
AUBURN UNIVERSITY AT AUBURN,01081040603,01081,32.60214,-85.5085
"CELLIA SCIENCE, INC.",05143011105,05143,36.04229,-94.16811
ARKANSAS STATE UNIVERSITY,05031000602,05031,35.84934,-90.67935
ARKANSAS CHILDREN'S HOSPITAL RES INST,05119004500,05119,34.74341,-92.29155
TUSKEGEE UNIVERSITY,01087231700,01087,32.42834,-85.70932
VITALANT,04013217400,04013,33.47385,-111.9468
UNIVERSITY OF ALASKA FAIRBANKS,02090000600,02090,64.85744,-147.8003
"FAKNOSTICS, LLC",04013108400,04013,33.50399,-112.01861
"ENDOMIMETICS, LLC",01073002702,01073,33.51546,-86.82104
SEQUITUR HEALTH CORP.,04013216816,04013,33.59544,-111.89579
"BIOSENSING INSTRUMENT, INC.",04013319905,04013,33.35782,-111.92618
"EVIMERO, LLC",01125010406,01125,33.2268,-87.53152
"CALADAN THERAPEUTICS, INC.",01073012921,01073,33.44675,-86.79896
"GOALISTICS, LLC",04013319910,04013,33.33651,-111.93881
"PRECISION EPIGENOMICS, INC.",04019004127,04019,31.94062,-110.90751
HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,01089001403,01089,34.72523,-86.69104
SOUTHCENTRAL FOUNDATION,02020001602,02020,61.18215,-149.79596
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,02020001602,02020,61.18306,-149.80638
MIDWESTERN UNIVERSITY (GLENDALE AZ),04013616000,04013,33.6634,-112.1836
"BMSEED, LLC",04013319903,04013,33.37778,-111.9147
"ALVEOLUS BIO, INC.",01073002701,01073,33.51178,-86.81259
NEPHROPATHOLOGY ASSOCIATES,05119002407,05119,34.74002,-92.397
"CERIA THERAPEUTICS, INC.",08013012104,08013,40.04357,-105.29331
"INTER TRIBAL COUNCIL OF ARIZONA, INC.",04013111800,04013,33.47261,-112.07477
"FIBRONOX, L.L.C.",04019000800,04019,32.21415,-110.95475
"QSCINT IMAGING SOLUTIONS, LLC",04019004633,04019,32.39367,-111.00139
RELIANT GLYCOSCIENCES LLC,01117030221,01117,33.44196,-86.66907
"SCINTILLATION NANOTECHNOLOGIES, INC.",04019004081,04019,32.07308,-110.69792
VIVOSPHERE LLC,01081040700,01081,32.58701,-85.4932
CFD RESEARCH CORPORATION,01089010626,01089,34.7573,-86.67861
"VIC FOUNDRY, INC.",05143011105,05143,36.04229,-94.16811
IMETABOLIC BIOPHARMA CORPORATION,04013319909,04013,33.3429,-111.89472
NEPHSMART LLC,05119004224,05119,34.73178,-92.41679
DINE' COLLEGE,04001944100,04001,36.32628,-109.26807
SOUTHERN RESEARCH INSTITUTE,01073004502,01073,33.50369,-86.79741
"COMPOVAX, LLC",01097003602,01097,30.69296,-88.19438
ALABAMA STATE UNIVERSITY,01101001500,01101,32.36501,-86.2957
CANAIRY LLC,01117030221,01117,33.43956,-86.68129
"CND LIFE SCIENCES, INC.",04013105103,04013,33.51808,-112.01033
BANNER HEALTH,04013114800,04013,33.43342,-112.08759
"SFC FLUIDICS, LLC",05143011105,05143,36.04298,-94.16792
"INTERVEXION THERAPEUTICS, LLC",05119002103,05119,34.75192,-92.34567
"ANEUVAS TECHNOLOGIES, INC.",04013816902,04013,33.25312,-111.61635
OUACHITA BAPTIST UNIVERSITY,05019953602,05019,34.12464,-93.05134
ALABAMA FIRE COLLEGE,01125012505,01125,33.12098,-87.56677
"NUVOX PHARMA, LLC",04019000700,04019,32.21247,-110.9472
"ZEBRA ANALYTIX, INC.",05143011105,05143,36.04228,-94.1681
LYCHEE BIOSCIENCE LLC,04019004726,04019,32.3111,-110.94602
UNIVERSITY OF ALASKA ANCHORAGE,02020001602,02020,61.19065,-149.81813
ARIZONA VETERANS RESEARCH AND EDUCATION FOUNDATION,04013117100,04013,33.49696,-112.06678
WHITE MOUNTAIN APACHE TRIBE,04017940301,04017,33.8376,-109.96824
"LUCEOME BIOTECHNOLOGIES, LLC",04019000700,04019,32.21282,-110.94637
"LIGHT RESEARCH, INC.",04019004722,04019,32.29456,-110.84802
