tractid,inst_street_address,org_name,lat,lon
01097007203,101 BIENVILLE BLVD,Marine Environmental Sciences Consortium,30.24957,-88.07702
01097007203,,"Froehlich, Catheline Yasmin-Magali",30.2491,-88.09984
01003010706,30934 WAKEFIELD DRIVE,"MITO-BIOTHERAPEUTICS, INC.",30.67571,-87.87569
01087231400,,"Pruett, Jenna E",32.47969,-85.49942
01097980000,307 UNIVERSITY BLVD,University of South Alabama,30.69541,-88.17522
01097003302,4000 DAUPHIN ST,Spring Hill College,30.68697,-88.1355
01101000100,7430 EAST DR LIBRARY TOWER 700,Auburn University at Montgomery,32.37922,-86.30774
01101001500,915 S JACKSON ST,Alabama State University,32.36298,-86.29398
01109189101,600 UNIVERSITY AVE,Troy University,31.79968,-85.95984
01087231700,1200 W MONTGOMERY RD,Tuskegee University,32.42928,-85.70771
01081040201,321-A INGRAM HALL,Auburn University,32.6054,-85.48142
01081040700,,Weaver                  Ryan           J,32.59096,-85.49298
01081040700,,"Josefson, Chloe C",32.59096,-85.49298
01081040700,540 DEVALL DR STE 101-1A,NANOXORT LLC,32.58682,-85.49322
01081041001,172 BLASTED ROCK RD,OSSILLATE INC.,32.66818,-85.4885
01081040700,540 DEVALL DR STE 101,VIVOSPHERE LLC,32.58682,-85.49322
01055001600,1001 GEORGE WALLACE RD,Gadsden State Community College,33.99143,-85.99238
01015002101,700 PELHAM RD N,Jacksonville State University,33.82041,-85.76712
01121010700,627 BATTLE ST W,Talladega College,33.43441,-86.11347
01077010100,1 HARRISON PLZ,University of North Alabama,34.80853,-87.67914
01043965402,801 MAIN ST NW,George C. Wallace State Community College-Hanceville,34.05726,-86.76635
01125012501,,"Snead, Anthony Andrew",33.16907,-87.63838
01125012501,,"Yap-Chiongco, Meghan K",33.16907,-87.63838
01125010407,7 ROLLINGWOOD,HYPOGENICA LLC,33.22981,-87.5382
01083020700,300 N BEATY ST,Athens State University,34.80607,-86.96429
01089001500,301 SPARKMAN DR NW,University of Alabama in Huntsville,34.72516,-86.64047
01089001403,601 Genome Way,HudsonAlpha Institute for Biotechnology,34.72532,-86.69086
01089010625,7000 ADVENTIST BLVD NW,Oakwood College,34.75462,-86.65014
01089010625,1515 SPARKMAN DR NW,"ONYX AEROSPACE, INC.",34.74022,-86.64706
01089003000,1806 UNIVERSITY DR NW,"ETHAR, INC.",34.74124,-86.59654
01089002501,3120 LEEMAN FERRY RD SW,"MATHINVESTMENTS, INC.",34.69665,-86.59252
01089000203,4900 MERIDIAN STREET NW,Alabama A&M University,34.78387,-86.57757
01073010704,800 LAKESHORE DR,Samford University,33.46425,-86.79351
01001020804,1851 RIVERTON DR,"FORSEE, LLC",32.49063,-86.42435
01073004502,701 S 20TH STREET,University of Alabama at Birmingham,33.50562,-86.79908
01073013100,3060 WILSON RD SW,Lawson State Community College,33.45062,-86.88914
01073002100,,"Harder, Avril M",33.568600000000004,-86.71649
01073002701,1500 1ST AVE N STE 101,"AI METRICS, LLC",33.51175,-86.81258
01073002701,1500 1ST AVE N UNIT 97,"TRUSPIN NANOMATERIAL INNOVATION, INC.",33.51175,-86.81258
01073004502,1143 1ST AVE S STE 115,"SYNC, INC.",33.50624,-86.81595
01073002701,215 RICHARD ARRINGTON JR BLVD N,"CERFLUX, INC.",33.51678,-86.80498
01073002701,1500 1ST AVE N,"SPEARSTONE SOLUTIONS, LLC",33.51175,-86.81258
01073010604,5500 MYRON MASSEY BLVD,Miles College,33.48052,-86.90919
01119011301,1 COLLEGE DR,University of West Alabama,32.5843,-88.18725
01125011200,801 UNIVERSITY BLVD,University of Alabama Tuscaloosa,33.20894,-87.54749
01125011200,720 2ND ST #134A,JAQ ENERGY LLC,33.21707,-87.54503
01125011200,720 2ND ST 105 AIME BUILDING,NEXTPRINTED SOLAR LLC,33.21707,-87.54503
01125011701,3601 STILLMAN BLVD,Stillman College,33.19826,-87.58592
01125012700,,"Lopez, Jonathan Williams",33.22235,-87.49011
01125012700,,"Sweeting, Brandon Scott",33.22235,-87.49011
02020001100,201 E 3RD AVE,Yukon River Inter-Tribal Watershed Council,61.21974,-149.88066
02020001602,3211 PROVIDENCE DR,University of Alaska Anchorage Campus,61.19076,-149.81805
02020002000,3900 ARCTIC BLVD STE 203,Inuit Circumpolar Conference,61.18498,-149.89888
02020002502,1131 E INTL AIRPORT RD,Aleutian Pribilof Islands Association,61.1743,-149.86154
02020002813,6132 FARPOINT DR,"TWO BEARS ENVIRONMENTAL CONSULTING, LLC",61.16498,-149.70097
02020001900,5015 BUSINESS PARK BLVD STE 3000,"Calista Education and Culture, Inc.",61.17497,-149.88831
02020001602,4000 AMBASSADOR DR,Alaska Native Tribal Health Consortium,61.18281,-149.80651
02020001200,1227 W 9TH AVE,ALASKA CONSERVATION FOUNDATION,61.21387,-149.90708
02020001602,4101 UNIVERSITY DR,Alaska Pacific University,61.18949,-149.8065
02020002601,6613 BRAYTON DR STE A,CHUGACH REGIONAL RESOURCES COMMISSION,61.16085,-149.85473
02185000100,100 STEVENSON ST,Ilisagvik College,71.32504,-156.68232
02020000204,23834 THE CLEARING DR,Huntington Consulting,61.29694,-149.43692
02090001300,2145 N TANANA LOOP,University of Alaska Fairbanks Campus,64.86137,-147.82955
02090000600,3535 COLLEGE RD,Arctic Research Consortium of the U.S.,64.85577,-147.80928
02090001000,,"Iezzi, Alexandra Michelle",64.81707,-147.87928
02110000500,105 HERITAGE WY STE 201,Sealaska Heritage Institute,58.30037,-134.40682
02110000100,11066 AUKE LAKE WAY,University of Alaska Southeast Juneau Campus,58.38269,-134.63912
02220000200,834 LINCOLN ST,SITKA SOUND SCIENCE CENTER INC,57.04975,-135.32357
02220000200,204 SIGINAKA WAY,Sitka Tribe of Alaska,57.05694,-135.34827
02220000200,110 COLLEGE DR,OUTER COAST,57.05172,-135.32203
02275000300,730 CASE AVE,ARED LLC,56.4658,-132.37574
04013108902,,"Pacheco Fores, Sofia",33.50809,-112.08639
04013111800,2800 NORTH CENTRAL AVENUE,Arizona Technology Council Foundation,33.47887,-112.0743
04013113100,445 N 5TH ST,Translational Genomics Research Instittue,33.45311,-112.06702
04013113702,275 N GATEWAY DR STE 126,OXBYEL TECHNOLOGIES INC.,33.45192,-111.99143
04013113204,,"Katzenstein, Jessica",33.4636,-112.0536
04013107201,3300 W CAMELBACK RD,Grand Canyon University,33.51199,-112.12961
04013111800,311 W VIRGINIA AVE,"CRYSTAL SONIC, INC.",33.4764,-112.07885
04013113100,,"Sullivan, Colleen E",33.45283,-112.0685
04013114100,541 E VAN BUREN ST,Center for the Future of Arizona,33.45106,-112.06672
04013060801,12425 W BELL RD STE 110,Resuture Inc.,33.63833,-112.3267
04013030401,37204 NORTH TRANQUIL TRAIL,ALGOFACE INC,33.82314,-111.91841
04013108000,5601 E CALLE CAMELIA,PREVENTA MEDICAL CORPORATION,33.49133,-111.96041
04013111204,1201 N GALVIN PKWY,Desert Botanical Garden,33.4617,-111.94491
04013107700,2398 E CAMELBACK RD STE 1020,"HYPERSOUND MEDICAL, INC.",33.51022,-112.03058
04013218200,1355 N SCOTTSDALE RD STE 110,"AURAL ANALYTICS, INC.",33.46346,-111.92553
04013216859,12826 E CIBOLA RD,SEQUITUR HEALTH CORP,33.59609,-111.80426
04013216860,16674 N 91st St Ste 103,Howe Industries LLC,33.6385,-111.8856
04013218200,1475 N SCOTTSDALE RD STE 200,ADVENT Diamond,33.46418,-111.9231
04013216851,22218 N CHURCH RD,VOLANT AERIAL INC,33.68798,-111.86918
04013216813,7721 E NORTH LANE,DESERT VALLEY TECH INC.,33.58117,-111.91364
04013216850,8950 E RAINTREE DR,NANOFLEX POWER CORPORATION,33.62001,-111.88886
04013216844,19001 N SCOTTSDALE RD STE 130,"NU PLANET PHARMACEUTICAL RADIOISOTOPES, INC.",33.65932,-111.92454
04013216829,27500 N 115TH ST,"LIFELAB STUDIOS, INC.",33.73513,-111.83318
04013616000,19555 N. 59TH AVE ADMINISTRATION BUILDING,Midwestern University,33.66378,-112.18331
04013610800,29618 N 69TH LN,"SUNESTA SOLAR, INC.",33.7538,-112.21023
04013104401,2424 W DESERT COVE AVE,Swift Coat,33.58555,-112.11221
04013610500,,"Harris, Jacob",33.83954,-112.11918
04013812200,1370 W JAVELINA DR,"BAONANO, LLC",33.26372,-111.86481
04013813500,1101 E CHERRYWOOD PL,"BEYOND SILICON, INC.",33.23244,-111.82261
04013817600,,"Sumner, Brandon C",33.33123,-111.64222
04019004642,1800 E INNOVATION PARK DR,SOUVIE BIODELIVERY LLC,32.43282,-110.9451
04019004642,1800 E INNOVATION PARK DR STE 1,MACULA VISION SYSTEMS INC.,32.43282,-110.9451
04019004617,951 W ORANGE GROVE RD APT 77104,SGNT LLC,32.32162,-110.98419
04019004626,7600 N SHANNON RD,Pima County Community College District- NORTHWEST CAMPUS,32.34314,-111.02685
04019004073,9040 S RITA RD STE 1270,SGNT INC,32.0922,-110.80904
04019002703,3333 N CAMPBELL AVE STE 4,"NORCON TECHNOLOGIES, LLC",32.26745,-110.94438
04019004717,6835 N SAINT ANDREWS DR,"MAUI IMAGING, INC.",32.33077,-110.88602
04019004073,9040 S RITA RD STE 1270,"US AIR TECH, LLC",32.0922,-110.80904
04019002906,4703 E CAMP LOWELL DR,Research Corporation for Science Advancement,32.26563,-110.89183
04019004614,,"Horschler, Daniel James",32.3395,-110.98643
04019004726,990 E CALLE DE LA CABRA,Emagine Solutions Technology,32.3142,-110.95632
04019004610,6196 N CORTE SAN BELLA,THERACEA PHARMA LC,32.31939,-111.01535
04019004723,7623 E CAMINO DEL BRIOSO,"NORCON TECHNOLOGIES HOLDING, INC.",32.30316,-110.83023
04019002704,3749 N PLACITA VERGEL,"GOODMAN CONSULTING GROUP, LLC",32.27507,-110.94586
04019004722,4815 N ROCK CANYON RD,LIGHT RESEARCH INC,32.29469,-110.84781
04019004073,9040 S. RITA RD,PARAMIUM TECHNOLOGIES LLC,32.09193,-110.80893
04019004081,13889 E PLACITA PROPIA,SCINTILLATION NANOTECHNOLOGIES LLC,32.07308,-110.6979
04019004109,13575 S SONOITA RANCH CIR,METFORA LLC,32.00671,-110.69486
04013523102,249 E CHICAGO ST STE 126,ENKOAT LLC,33.2999,-111.83826
04013810400,6401 W ORCHID LN,EARTHEN INC.,33.32336,-111.95196
04013421102,,"Torvinen, Andrea",33.43295,-111.84493
04013421400,245 W 2ND ST,NASUS MEDICAL INC.,33.41871,-111.83851
04013422212,2128 S PASEO LOMA,FRESHKUBE INC.,33.37642,-111.88083
04013116718,,"Wissler, Amanda",33.32111,-111.98802
04013116710,13856 SOUTH 36TH WAY,"GLOBAL COOLING TECHNOLOGY GROUP, LLC",33.3205,-112.0081
04013318700,660 S MILL AVENUE STE 204,Arizona State University,33.42386,-111.94107
04013319802,,Monkiewicz              Jacqueline     A,33.38976,-111.93436
