"CBSA_FIPS","CBSA_NAME","state_name","state","raw_funding","econ_impact","jobs"
"01011","Bullock County, AL","Alabama","AL",164773.144265894,406133.972736987,1.51773232731022
"01013","Butler County, AL","Alabama","AL",239436.955689092,602906.431449753,2.25712007970138
"01019","Cherokee County, AL","Alabama","AL",201662.319983277,498799.31872115,1.86710877423362
"01023","Choctaw County, AL","Alabama","AL",32951.3507463267,87703.1676410506,0.315173666960457
"01025","Clarke County, AL","Alabama","AL",255448.013973705,633115.692072913,2.35264971558942
"01027","Clay County, AL","Alabama","AL",242573.932473145,600460.222988417,2.23608800439779
"01029","Cleburne County, AL","Alabama","AL",174890.567756617,444634.270174861,1.67986457443292
"01035","Conecuh County, AL","Alabama","AL",158126.555584896,400710.155604135,1.48064045106522
"01039","Covington County, AL","Alabama","AL",317830.120464184,795143.404258325,2.92664676254012
"01041","Crenshaw County, AL","Alabama","AL",84721.3109586123,211387.167828806,0.790133648260408
"01053","Escambia County, AL","Alabama","AL",360356.521180839,897195.321518571,3.33692397845066
"01057","Fayette County, AL","Alabama","AL",630333.334673053,1564501.64581295,5.85465364331984
"01075","Lamar County, AL","Alabama","AL",180105.593739174,451617.988226186,1.66584151617473
"01091","Marengo County, AL","Alabama","AL",432977.415491418,1070015.62210995,3.99148801933179
"01093","Marion County, AL","Alabama","AL",556635.484856557,1388685.17561477,5.17132343008884
"01099","Monroe County, AL","Alabama","AL",138711.190207779,345491.808019962,1.27858232531908
"01105","Perry County, AL","Alabama","AL",297622.251826556,740327.353904743,2.75651525034643
"01111","Randolph County, AL","Alabama","AL",330378.372423402,815570.745432475,3.04979874349593
"01119","Sumter County, AL","Alabama","AL",212394.401968813,530411.472227462,1.96318342110287
"01129","Washington County, AL","Alabama","AL",220161.805108251,554134.022712009,2.04027027137904
"01131","Wilcox County, AL","Alabama","AL",65840.2672149384,168451.131637271,0.614494874829478
"01133","Winston County, AL","Alabama","AL",795317.956029073,1987066.44576814,7.44241840652779
"02013","Aleutians East Borough, AK","Alaska","AK",2522.44468864396,6280.38478114378,0.0196771968760311
"02016","Aleutians West Census Area, AK","Alaska","AK",2975.72870476925,9576.54942727034,0.0232735622922601
"02050","Bethel Census Area, AK","Alaska","AK",214306.63070945,851438.889192434,1.67187287354597
"02060","Bristol Bay Borough, AK","Alaska","AK",512.494284593633,2037.40059151334,0.00399745541983034
"02063","Chugach Census Area, AK","Alaska","AK",55859.8396392333,221754.217115848,0.435936969058405
"02066","Copper River Census Area, AK","Alaska","AK",4560.67378464974,18101.083792669,0.035641898894384
"02068","Denali Borough, AK","Alaska","AK",18561.8648616729,73791.9535605156,0.144782545921049
"02070","Dillingham Census Area, AK","Alaska","AK",6995.73249585565,27606.7063105118,0.0546442089036037
"02100","Haines Borough, AK","Alaska","AK",676.632358997586,2689.92496092292,0.00527773240018117
"02105","Hoonah-Angoon Census Area, AK","Alaska","AK",1571.24184154215,6246.40928416758,0.0122556863640288
"02122","Kenai Peninsula Borough, AK","Alaska","AK",300970.683788792,1150231.16730723,2.37999432021145
"02150","Kodiak Island Borough, AK","Alaska","AK",10377.5699594767,40679.3352411292,0.081266644415938
"02158","Kusilvak Census Area, AK","Alaska","AK",21614.3650228632,85734.9132447066,0.16860963331159
"02164","Lake and Peninsula Borough, AK","Alaska","AK",5794.6498044561,23021.0482382434,0.0452236711759325
"02180","Nome Census Area, AK","Alaska","AK",1266.5719731495,3061.4916949655,0.00987926139056611
"02185","North Slope Borough, AK","Alaska","AK",14841.8171043189,52911.492982542,0.115976043576306
"02188","Northwest Arctic Borough, AK","Alaska","AK",2378.0660531961,9039.3572831521,0.0185489152149296
"02195","Petersburg Borough, AK","Alaska","AK",2286.46260245526,7215.64963299456,0.0178758997891163
"02198","Prince of Wales-Hyder Census Area, AK","Alaska","AK",2718.94246738436,9581.06682094919,0.0213515907526408
"02220","Sitka City and Borough, AK","Alaska","AK",91221.2644481009,357067.265601774,0.711537079484055
"02230","Skagway Municipality, AK","Alaska","AK",429.390890977243,1707.02636413039,0.0033492489496225
"02240","Southeast Fairbanks Census Area, AK","Alaska","AK",79636.6919911455,316577.646829069,0.621200519217993
"02275","Wrangell City and Borough, AK","Alaska","AK",2042.9424899612,8053.46996808721,0.0159349514216973
"02282","Yakutat City and Borough, AK","Alaska","AK",1578.5589838522,6275.4982916333,0.0123127600740472
"02290","Yukon-Koyukuk Census Area, AK","Alaska","AK",86248.4821416494,342861.893476225,0.672755746838122
"04001","Apache County, AZ","Arizona","AZ",901829.623292963,2635224.97733355,9.17342368799686
