"GEOID","rep_name","pol_party","state_name","state","raw_funding","econ_impact","jobs"
"0101","Barry Moore","Republican","Alabama","AL",8659312.6197681,21718164.0173445,80.6601501345248
"0102","Shomari Figures","Democrat","Alabama","AL",15777785.3701511,39186469.6355313,146.296967612939
"0103","Mike Rogers","Republican","Alabama","AL",34977863.9829864,86413573.7625892,322.56444879392
"0104","Robert B. Aderholt","Republican","Alabama","AL",32321830.3295469,79953598.7306587,298.722304328367
"0105","Dale W. Strong","Republican","Alabama","AL",15791316.6744621,39282745.4666974,146.907455147178
"0106","Gary J. Palmer","Republican","Alabama","AL",135787894.749276,334759599.843382,1250.76528051006
"0107","Terri A. Sewell","Democrat","Alabama","AL",144461119.531823,356215179.606468,1330.89203879308
"0200","Nicholas J. Begich III","Republican","Alaska","AK",16305075.0890577,63415500.3578474,127.925190914128
"0401","David Schweikert","Republican","Arizona","AZ",33008882.5434327,96846790.6005042,336.260730813419
"0402","Elijah Crane","Republican","Arizona","AZ",18324219.4997784,53743916.007542,186.621736793705
"0403","Yassamin Ansari","Democrat","Arizona","AZ",19046662.6585738,55874070.4468015,193.979524487361
"0404","Greg Stanton","Democrat","Arizona","AZ",30337777.7991123,88803933.7190757,307.814302836851
"0405","Andy Biggs","Republican","Arizona","AZ",20590567.8913083,60240503.8380105,209.290285760229
"0406","Juan Ciscomani","Republican","Arizona","AZ",102443257.971043,300691844.79359,1044.03273419198
"0407","Adelita S. Grijalva","Democrat","Arizona","AZ",70919978.5649972,208193145.408697,722.915471876486
"0408","Abraham J. Hamadeh","Republican","Arizona","AZ",17264225.1293103,50628014.3615822,175.746519704936
"0409","Paul A. Gosar","Republican","Arizona","AZ",9256979.29164916,27212167.262425,94.0613797996288
"0501","Eric A. “Rick” Crawford","Republican","Arkansas","AR",13967313.6871055,38649999.1307451,129.993456662677
"0502","J. French Hill","Republican","Arkansas","AR",66710006.235143,187219550.313914,588.139502206365
"0503","Steve Womack","Republican","Arkansas","AR",11039157.5854467,30995968.686654,97.8562560483649
"0504","Bruce Westerman","Republican","Arkansas","AR",10958120.3868816,30807771.3750948,97.3168618472773
"0601","Vacant","Republican","California","CA",14087420.961235,37884140.4610493,124.01066372945
"0602","Jared Huffman","Democrat","California","CA",83589041.7326743,224406477.958619,735.541157518985
"0603","Kevin Kiley","Republican","California","CA",32604869.8501702,88241089.9591669,287.0524942659
"0604","Mike Thompson","Democrat","California","CA",140465620.642753,376951906.710771,1236.1893744171
"0605","Tom McClintock","Republican","California","CA",26361616.642701,70983002.122914,232.012645987357
"0606","Ami Bera","Democrat","California","CA",47948875.9160022,128831483.235992,421.886974538669
"0607","Doris O. Matsui","Democrat","California","CA",55716165.6735745,149544141.519451,490.162748395951
"0608","John Garamendi","Democrat","California","CA",144769700.868607,388522262.97025,1274.07223801567
"0609","Josh Harder","Democrat","California","CA",34582285.049417,92851209.8973313,304.312330267299
"0610","Mark DeSaulnier","Democrat","California","CA",106739852.51675,286572898.668118,939.820972736419
"0611","Nancy Pelosi","Democrat","California","CA",389152755.505822,1044100347.35675,3423.71385866336
"0612","Lateefah Simon","Democrat","California","CA",249224564.391992,668641953.4144,2193.12881796705
"0613","Adam Gray","Democrat","California","CA",21287293.1921679,57157814.6407209,187.474602833776
"0614","Eric Swalwell","Democrat","California","CA",133019508.420523,356864267.079246,1170.43176927736
"0615","Kevin Mullin","Democrat","California","CA",378683674.767412,1016159351.30758,3332.58576245894
"0616","Sam T. Liccardo","Democrat","California","CA",227384205.799385,610073229.953804,2000.83750818355
"0617","Ro Khanna","Democrat","California","CA",141854747.215474,380476786.256111,1248.17733994154
"0618","Zoe Lofgren","Democrat","California","CA",61579633.5996789,165268810.70652,542.176857523366
"0619","Jimmy Panetta","Democrat","California","CA",85321933.0127921,228910940.178445,750.764406606644
"0620","Vince Fong","Republican","California","CA",7813340.64650064,20980025.401043,68.7343583158379
"0621","Jim Costa","Democrat","California","CA",11493030.1971374,30893346.1665756,101.350406457498
"0622","David G. Valadao","Republican","California","CA",6519870.40722519,17492332.1838148,57.3483240463214
"0623","Jay Obernolte","Republican","California","CA",22550935.7921973,60617401.9721952,199.053818687236
"0624","Salud O. Carbajal","Democrat","California","CA",31776824.7620637,85296217.7596388,279.615901052991
