"FIPS","state_name","state","name","raw_funding","econ_impact","jobs"
"01001","Alabama","AL","Autauga County",1269664.89691397,3130963.98681806,11.6923646603966
"01003","Alabama","AL","Baldwin County",2322178.73390221,5801897.51617163,21.5247763002838
"01005","Alabama","AL","Barbour County",260332.031407125,646733.170445453,2.42156609044713
"01007","Alabama","AL","Bibb County",623952.63046309,1549681.32847557,5.78950011164544
"01009","Alabama","AL","Blount County",7670872.94489843,18928437.1745126,70.7600244171877
"01011","Alabama","AL","Bullock County",164773.144265894,406133.972736987,1.51773232731022
"01013","Alabama","AL","Butler County",239436.955689092,602906.431449753,2.25712007970138
"01015","Alabama","AL","Calhoun County",2284590.56756799,5668419.13762613,21.1882841978046
"01017","Alabama","AL","Chambers County",1238565.75357378,3054811.89273263,11.4032910877167
"01019","Alabama","AL","Cherokee County",201662.319983277,498799.31872115,1.86710877423362
"01021","Alabama","AL","Chilton County",2019393.63290328,4991196.63986733,18.6299895990823
"01023","Alabama","AL","Choctaw County",32951.3507463267,87703.1676410506,0.315173666960457
"01025","Alabama","AL","Clarke County",255448.013973705,633115.692072913,2.35264971558942
"01027","Alabama","AL","Clay County",242573.932473145,600460.222988417,2.23608800439779
"01029","Alabama","AL","Cleburne County",174890.567756617,444634.270174861,1.67986457443292
"01031","Alabama","AL","Coffee County",518813.794047594,1342124.8701592,5.05646241730797
"01033","Alabama","AL","Colbert County",641834.999455826,1611087.02210005,5.97448684940734
"01035","Alabama","AL","Conecuh County",158126.555584896,400710.155604135,1.48064045106522
"01037","Alabama","AL","Coosa County",304880.328930409,763105.094415262,2.86033901957454
"01039","Alabama","AL","Covington County",317830.120464184,795143.404258325,2.92664676254012
"01041","Alabama","AL","Crenshaw County",84721.3109586123,211387.167828806,0.790133648260408
"01043","Alabama","AL","Cullman County",4373120.77338174,10818531.2685335,40.4506264437033
"01045","Alabama","AL","Dale County",644193.758568268,1652480.30850715,5.88380747154115
"01047","Alabama","AL","Dallas County",812026.245548322,2021415.610122,7.55651144127655
"01049","Alabama","AL","DeKalb County",523452.130889172,1298966.85226098,4.85696357705994
"01051","Alabama","AL","Elmore County",1860358.110806,4642537.61369565,17.4046515043638
"01053","Alabama","AL","Escambia County",360356.521180839,897195.321518571,3.33692397845066
