"state","state_name","raw_funding","econ_impact","jobs"
"AK","Alaska",16305075.0890577,63415500.3578474,127.925190914128
"AL","Alabama",387777123.258014,957529331.062671,3576.80864532007
"AR","Arkansas",102674597.894577,287673289.506408,913.306076764684
"AS","American Samoa",1374878.57433577,3533437.93604294,12.2364193115884
"AZ","Arizona",321192551.349205,942234386.438229,3270.7226862646
"CA","California",5179359818.26694,13899143271.9509,45583.2771506119
"CO","Colorado",468441238.736106,1311941348.43435,4494.99522609651
"CT","Connecticut",749269986.756611,1707480018.94695,5691.51847961233
"DC","District of Columbia",95187225.9652888,196971131.615667,358.822398361167
"DE","Delaware",77109907.1083461,182206092.113547,488.983966511272
"FL","Florida",842211227.698994,2696100071.50857,9409.57895556824
"GA","Georgia",759912268.777622,2228117244.6901,8934.28597485424
"GU","Guam",1896921.86248781,4875089.18659368,16.8826045761415
"HI","Hawaii",63568814.2232382,179272295.454017,577.773709406891
"IA","Iowa",214907342.092294,529207321.023068,1711.20909259682
"ID","Idaho",30962813.9707517,105803654.473092,271.807964351188
"IL","Illinois",1206004309.27156,3416936998.99798,11855.3491582277
"IN","Indiana",419954916.230952,1132637215.1633,3735.55700862065
"KS","Kansas",110997267.160081,302829460.356998,906.823000729844
"KY","Kentucky",273210290.976303,714324730.386839,2404.37047924532
"LA","Louisiana",211091626.782402,585079340.016982,2073.19631129095
"MA","Massachusetts",3230078870.29363,7234821946.52567,25495.0894533516
"MD","Maryland",1558741212.60674,3407382506.37836,12436.552535105
"ME","Maine",120096780.769826,279318096.286578,1103.15837257969
"MI","Michigan",931203838.194312,2374596618.40971,9023.99157469766
"MN","Minnesota",684824693.690493,1699020502.15204,6224.28211561269
"MO","Missouri",760002967.271795,1800664994.75454,6528.19069001911
"MS","Mississippi",79397869.9863383,245156077.677744,729.0130711005
"MT","Montana",45741936.0096483,120702982.157731,420.69078282994
"NC","North Carolina",2150080815.36022,5382164499.61609,20848.5443841723
"ND","North Dakota",21211072.0013799,78143746.0314431,157.264566716988
"NE","Nebraska",138814483.635649,359468246.143956,1276.12948438032
"NH","New Hampshire",146916260.786222,343417589.443635,1087.56277076747
"NJ","New Jersey",765692175.745612,2118502065.21666,6258.1136796252
"NM","New Mexico",116040551.308844,272029965.016562,913.549069626996
"NV","Nevada",41524528.9710924,210416654.870338,362.98663282319
"NY","New York",3242938949.72432,7654632514.05117,23128.2325511004
"OH","Ohio",960535507.028512,2504365085.55834,9479.95334284077
"OK","Oklahoma",137804520.363888,388232740.722677,1446.17512629155
"OR","Oregon",385845660.778691,937363292.346107,3392.53733738782
"PA","Pennsylvania",2010245181.42437,4839153189.69794,17021.1916749127
"PR","Puerto Rico",50964447.3601778,130978629.715657,453.583581505583
"RI","Rhode Island",234768908.12864,495705716.459218,1756.4863086153
"SC","South Carolina",249657006.685329,718141271.555354,2580.37432713725
"SD","South Dakota",27973425.4981281,85629511.3670558,232.324385599526
"TN","Tennessee",709021800.308116,1908888572.71837,7086.3376885248
"TX","Texas",1734041540.73531,5638575041.17155,20421.3621706484
"UT","Utah",274014421.135115,752721430.477182,3147.02355259785
"VA","Virginia",618609810.910477,1630474521.77511,4838.27605146134
"VI","Virgin Islands",537608.647470012,1381654.22399793,4.7847169624831
"VT","Vermont",102423698.373065,239688185.403148,751.4047159176
"WA","Washington",1423914139.54232,3445130778.31003,11135.6209070207
"WI","Wisconsin",594801588.233204,1414923110.63443,5586.7495032032
"WV","West Virginia",57782443.803763,155595927.783972,457.231981172397
"WY","Wyoming",13765083.3523634,51400802.8774361,111.607531881826
