"CBSA_FIPS","CBSA_NAME","state_name","state","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"33860","Autauga County, AL","Alabama","AL",257085.686968507,633062.53634054,2.36518832011027
"19300","Baldwin County, AL","Alabama","AL",471110.803423175,1160090.2548458,4.33421939149321
"21640","Barbour County, AL","Alabama","AL",52629.8900137119,129598.85885629,0.484194988126149
"13820","Bibb County, AL","Alabama","AL",125660.812354098,309434.389465809,1.1560794736577
"13820","Blount County, AL","Alabama","AL",1538579.86253723,3788687.27242529,14.1549347353425
"01011","Bullock County, AL","Alabama","AL",33598.5370652354,82734.964138455,0.309106541000165
"01013","Butler County, AL","Alabama","AL",48137.8327692718,118537.359532524,0.442868061477301
"11500","Calhoun County, AL","Alabama","AL",458660.352940695,1129431.55169526,4.21967524705439
"29300","Chambers County, AL","Alabama","AL",251787.301976268,620015.489337465,2.31644317818167
"01019","Cherokee County, AL","Alabama","AL",40636.1153859105,100064.700515134,0.373852261550376
"13820","Chilton County, AL","Alabama","AL",406446.564629728,1000857.3255302,3.7393083945935
"01023","Choctaw County, AL","Alabama","AL",6468.36835265861,15928.0811141406,0.0595089888444592
"01025","Clarke County, AL","Alabama","AL",51667.8478016246,127229.870951782,0.475344199774946
"01027","Clay County, AL","Alabama","AL",48756.0044939667,120059.581032072,0.448555241344494
"01029","Cleburne County, AL","Alabama","AL",35360.4334053635,87073.5587097945,0.325315987329345
"21460","Coffee County, AL","Alabama","AL",104532.773295342,257407.494650476,0.96170151431715
"22520","Colbert County, AL","Alabama","AL",128122.582198775,315496.392684014,1.17872775622873
"01035","Conecuh County, AL","Alabama","AL",31545.5529141909,77679.578251156,0.290219086810556
"45180","Coosa County, AL","Alabama","AL",60348.8151725696,148606.382754297,0.55520909958764
"01039","Covington County, AL","Alabama","AL",64129.7006674213,157916.651984793,0.589993246140276
"01041","Crenshaw County, AL","Alabama","AL",17209.7309535042,42378.2282694651,0.158329524772239
"18980","Cullman County, AL","Alabama","AL",875811.139332117,2156647.56664888,8.05746248185548
"37120","Dale County, AL","Alabama","AL",130086.977778799,320333.632994551,1.19680019556495
"42820","Dallas County, AL","Alabama","AL",163167.471253934,401792.93689322,1.50114073553619
"22840","DeKalb County, AL","Alabama","AL",103700.269269545,255357.489003332,0.95404247727981
"33860","Elmore County, AL","Alabama","AL",375845.311781542,925503.045905743,3.45777686839019
"01053","Escambia County, AL","Alabama","AL",71963.6671987792,177207.460354673,0.662065738228769
"23460","Etowah County, AL","Alabama","AL",585433.751311222,1441605.63676125,5.38599051206324
"01057","Fayette County, AL","Alabama","AL",127178.960986538,313172.765705757,1.17004644107615
"40770","Franklin County, AL","Alabama","AL",80189.225646992,197462.547113668,0.737740875952327
