"GEOID","rep_name","pol_party","state_name","state","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"0101","Barry Moore","Republican","Alabama","AL",1759174.741711,4331892.75134637,16.1844076237412
"0102","Shomari Figures","Democrat","Alabama","AL",3212203.06451503,7909913.00698837,29.5522681935382
"0103","Mike Rogers","Republican","Alabama","AL",7054202.25464428,17370672.1048664,64.8986607427274
"0104","Robert B. Aderholt","Republican","Alabama","AL",6498107.52860768,16001312.566179,59.7825892631906
"0105","Dale W. Strong","Republican","Alabama","AL",3122518.13547987,7689067.69538815,28.7271668464148
"0106","Gary J. Palmer","Republican","Alabama","AL",27209612.174433,67002509.1599092,250.328432004784
"0107","Terri A. Sewell","Democrat","Alabama","AL",28962402.1707825,71318679.7481896,266.454099971199
"0200","Nicholas J. Begich III","Republican","Alaska","AK",3369831.14228395,13396629.3263804,26.2846829098148
"0401","David Schweikert","Republican","Arizona","AZ",6398249.76192117,18793549.5399266,65.2621475715959
"0402","Elijah Crane","Republican","Arizona","AZ",3706967.28959327,10888457.9364936,37.8110663538514
"0403","Yassamin Ansari","Democrat","Arizona","AZ",3727789.39803265,10949618.6196557,38.023451859933
"0404","Greg Stanton","Democrat","Arizona","AZ",6054466.23379901,17783755.7670692,61.7555555847499
"0405","Andy Biggs","Republican","Arizona","AZ",4115721.63415023,12089090.1890527,41.9803606683324
"0406","Juan Ciscomani","Republican","Arizona","AZ",20947318.1928852,61528461.1941106,213.662645567429
"0407","Adelita S. Grijalva","Democrat","Arizona","AZ",14486610.5062383,42551454.2797188,147.76342716363
"0408","Abraham J. Hamadeh","Republican","Arizona","AZ",3359123.9245776,9866739.2234382,34.2630640306915
"0409","Paul A. Gosar","Republican","Arizona","AZ",1784212.09642454,5240757.96844519,18.1989633835303
"0501","Eric A. “Rick” Crawford","Republican","Arkansas","AR",2753821.1153675,7729770.70682904,24.233625815234
"0502","J. French Hill","Republican","Arkansas","AR",13785011.9057885,38693501.4144642,121.308104770939
"0503","Steve Womack","Republican","Arkansas","AR",2240276.46827418,6288289.14232259,19.7144329208128
"0504","Bruce Westerman","Republican","Arkansas","AR",2260019.04177293,6343705.07528077,19.8881675676017
"0601","Vacant","Republican","California","CA",2862310.78663108,7680407.49205882,25.1883349223535
"0602","Jared Huffman","Democrat","California","CA",17026709.6050779,45687585.2289499,149.835044524685
"0603","Kevin Kiley","Republican","California","CA",6662555.53961324,17877563.0241507,58.6304887485965
