"FIPS","state_name","state","name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"01001","Alabama","AL","Autauga County",257096.814011675,633089.936209637,2.36529068890741
"01003","Alabama","AL","Baldwin County",471479.423067271,1160997.9649933,4.3376106922189
"01005","Alabama","AL","Barbour County",52605.6265150598,129539.111025992,0.48397176393855
"01007","Alabama","AL","Bibb County",125537.793661765,309131.461184176,1.15494770168824
"01009","Alabama","AL","Blount County",1535831.85161191,3781920.41275767,14.1296530348296
"01011","Alabama","AL","Bullock County",33639.4696708819,82835.758933588,0.309483120972113
"01013","Alabama","AL","Butler County",48096.9193523236,118436.611988742,0.442491658041377
"01015","Alabama","AL","Calhoun County",457992.142385068,1127786.1117093,4.21352770994262
"01017","Alabama","AL","Chambers County",251966.572574992,620456.935538759,2.31809246768992
"01019","Alabama","AL","Cherokee County",40586.3544899288,99942.1664316848,0.373394461307345
"01021","Alabama","AL","Chilton County",405904.440207347,999522.367268262,3.73432084990759
"01023","Alabama","AL","Choctaw County",6465.64043062152,15921.3637225032,0.059483891961718
"01025","Alabama","AL","Clarke County",51657.4201178692,127204.193225402,0.475248265084397
"01027","Alabama","AL","Clay County",48690.1758341135,119897.480765573,0.447949617673844
"01029","Alabama","AL","Cleburne County",35341.9856923794,87028.1320035896,0.325146268369891
"01031","Alabama","AL","Coffee County",104463.911895971,257237.926392297,0.961067989442932
"01033","Alabama","AL","Colbert County",128005.933108045,315209.14927459,1.17765458459402
"01035","Alabama","AL","Conecuh County",31514.5886941683,77603.3301803497,0.289934215986349
"01037","Alabama","AL","Coosa County",60274.6989939857,148423.874826487,0.554527230744668
"01039","Alabama","AL","Covington County",64065.8961113219,157759.535987436,0.589406244224161
"01041","Alabama","AL","Crenshaw County",17215.1473125193,42391.5658224664,0.158379355275177
"01043","Alabama","AL","Cullman County",874438.835162302,2153268.32617611,8.04483728349318
"01045","Alabama","AL","Dale County",130102.982476493,320373.043879828,1.19694743878373
"01047","Alabama","AL","Dallas County",163021.354116561,401433.129676106,1.49979645787237
"01049","Alabama","AL","DeKalb County",103624.854433279,255171.783186385,0.953348660786167
"01051","Alabama","AL","Elmore County",375748.159893018,925263.813524956,3.45688307101576
"01053","Alabama","AL","Escambia County",71871.8631893949,176981.396898117,0.661221141342433
"01055","Alabama","AL","Etowah County",584479.650757278,1439256.20485111,5.37721278696696
"01057","Alabama","AL","Fayette County",127077.907013994,312923.924609544,1.16911674452874
"01059","Alabama","AL","Franklin County",80112.3251626238,197273.182951649,0.737033391496139
"01061","Alabama","AL","Geneva County",27046.0842661816,66599.8286622867,0.24882397524887
"01063","Alabama","AL","Greene County",41779.9718748644,102881.398319845,0.384375741248753
"01065","Alabama","AL","Hale County",113118.71246547,278550.003562582,1.04069215468232
"01067","Alabama","AL","Henry County",27292.7882968732,67207.3268129489,0.251093652331234
"01069","Alabama","AL","Houston County",178850.709545031,440412.242104913,1.64542652781428
"01071","Alabama","AL","Jackson County",81768.1123363958,201350.488227678,0.752266633494841
"01073","Alabama","AL","Jefferson County",43483110.7373426,107075305.10919,400.044618783552
"01075","Alabama","AL","Lamar County",36330.5767685932,89462.4953533788,0.334241306271058
"01077","Alabama","AL","Lauderdale County",182119.406896136,448461.269882464,1.67549854344445
"01079","Alabama","AL","Lawrence County",84108.5712714323,207113.768506275,0.773798855697178
"01081","Alabama","AL","Lee County",1568006.63463236,3861149.44330119,14.4256610386177
"01083","Alabama","AL","Limestone County",377951.586700687,930689.658035991,3.47715459764632
"01085","Alabama","AL","Lowndes County",15780.1573191069,38857.9641833982,0.145177447335784
"01087","Alabama","AL","Macon County",626164.593001816,1541903.59676044,5.76071425561671
"01089","Alabama","AL","Madison County",2104161.76457613,5181408.57727536,19.3582882341004
"01091","Alabama","AL","Marengo County",87138.2921992059,214574.327036611,0.801672288232694
"01093","Alabama","AL","Marion County",111618.706174692,274856.302064984,1.02689209680717
"01095","Alabama","AL","Marshall County",384403.449917993,946577.09595847,3.53651173924553
"01097","Alabama","AL","Mobile County",1761893.11795465,4338586.63687467,16.2094166851828
"01099","Alabama","AL","Monroe County",27896.8504971119,68694.804210465,0.25665102457343
"01101","Alabama","AL","Montgomery County",1006504.11576172,2478473.44546785,9.25983786500781
"01103","Alabama","AL","Morgan County",440943.028545955,1085803.39623176,4.05667586262278
"01105","Alabama","AL","Perry County",59911.7443516052,147530.114504038,0.551188048034768
