"state","state_name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"AK","Alaska",3144918.48580275,12231564.6062659,24.6741763229094
"AL","Alabama",74794346.9529903,184687999.135818,689.893886866869
"AR","Arkansas",19803848.7512222,55486346.4963456,176.158229773552
"AS","American Samoa",265186.208621906,681528.556158299,2.36015725673497
"AZ","Arizona",61951532.6806532,181737914.341604,630.85610963368
"CA","California",998993524.907037,2680863005.78364,8792.09020329108
"CO","Colorado",90352819.7918075,253046893.463808,866.993466937967
"CT","Connecticut",144518992.972282,329338285.558024,1097.77854938141
"DC","District of Columbia",18359686.4727975,37991738.7441726,69.2095674237909
"DE","Delaware",14872938.0870079,35143861.9070406,94.315095584839
"FL","Florida",162445474.459589,520023054.671588,1814.91705124661
"GA","Georgia",146571673.458338,429758653.246824,1723.24266930997
"GU","Guam",365877.777248928,940305.887529746,3.25631221751546
"HI","Hawaii",12261135.7432747,34577991.9985767,111.440837248519
"IA","Iowa",41451270.1836231,102073365.355092,330.057548277902
"ID","Idaho",5972099.20820525,20407380.3401995,52.4262468591837
"IL","Illinois",232613785.920633,659057886.840628,2286.65654832695
"IN","Indiana",81000790.983465,218462760.595668,720.513228366863
"KS","Kansas",21409122.9545818,58409664.6424849,174.907775816396
"KY","Kentucky",52696727.2404373,137778761.348192,463.754329593463
"LA","Louisiana",40715296.0437251,112849945.310311,399.877545393984
"MA","Massachusetts",623016741.370578,1395450505.86056,4917.48597789953
"MD","Maryland",300649584.705031,657215018.880941,2398.7588989122
"ME","Maine",23164234.6855486,53874799.0814472,212.776889388398
"MI","Michigan",179610345.171186,458011555.345311,1740.54506121474
"MN","Minnesota",132088802.226173,327706616.240098,1200.53785581021
"MO","Missouri",146589167.359434,347311778.560398,1259.15565967952
"MS","Mississippi",15314239.7498661,47285638.1454535,140.611844543691
"MT","Montana",8822692.28123274,23281158.6457591,81.1427247346194
"NC","North Carolina",414707007.803605,1038110437.15053,4021.26161809978
"ND","North Dakota",4091185.8471354,15072344.6596751,30.3331472151226
"NE","Nebraska",26774500.1662636,69334138.3699542,246.139510783297
"NH","New Hampshire",28337168.7580686,66238292.0343559,209.768813916891
"NJ","New Jersey",147686500.35552,408616106.992501,1207.06327875279
"NM","New Mexico",22381870.2410536,52469066.2876489,176.205098171301
"NV","Nevada",8009239.94904383,40585107.6433617,70.0127638437585
"NY","New York",625497190.022887,1476423454.90465,4460.96725691952
"OH","Ohio",185267829.545363,483041262.291211,1828.49084408421
"OK","Oklahoma",26579698.7227869,74882226.3266973,278.937868334912
"OR","Oregon",74421806.9908816,180798379.026819,654.351686689693
"PA","Pennsylvania",387735548.442835,933374562.140205,3283.0428597504
"PR","Puerto Rico",9830008.86204488,25263122.7754554,87.4870788721995
"RI","Rhode Island",45282163.6841758,95611584.9019857,338.79060549257
"SC","South Carolina",48153776.1185647,138514894.779479,497.701904307744
"SD","South Dakota",5395506.76582461,16516197.058745,44.8106648380323
"TN","Tennessee",136755933.624775,368185913.090853,1366.81090222261
"TX","Texas",334461464.717089,1087566833.25346,3938.8668279636
"UT","Utah",52851827.6486002,145184706.506273,606.997054092903
"VA","Virginia",119317293.493294,314485486.03141,933.205379953688
"VI","Virgin Islands",103693.810934394,266493.094101394,0.922874917316111
"VT","Vermont",19755455.3191789,46230992.5581852,144.93073895713
"WA","Washington",274644175.214365,664495895.390652,2147.83555734026
"WI","Wisconsin",114725169.924228,272909987.983436,1077.57073746714
"WV","West Virginia",11145062.1773135,30011300.5877437,88.1907812159846
"WY","Wyoming",2655005.56464872,9914172.99653137,21.5268306495275
