"GEOID","budg_CBET_cuts","budg_CHE_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CBET_cuts","econ_budg_CHE_cuts","econ_budg_NSF_cuts","jobs_budg_CBET_cuts","jobs_budg_CHE_cuts","jobs_budg_NSF_cuts"
"0101",103159.620920407,76397.4232842075,179557.044204615,"Alabama","Barry Moore","Republican","AL","01",272341.399229875,201689.197470308,474030.596700183,1.43277251278343,1.06107532339177,2.4938478361752
"0102",361553.521742793,142875.506535947,504429.028278739,"Alabama","Shomari Figures","Democrat","AL","01",954501.297400973,377191.337254899,1331692.63465587,5.02157669087212,1.98438203522148,7.0059587260936
"0103",1026290.78191137,470668.762468744,1496959.54438011,"Alabama","Mike Rogers","Republican","AL","01",2709407.66424601,1242565.53291749,3951973.1971635,14.2540386376579,6.53706614539923,20.7911047830571
"0104",704726.822539874,222220.240382078,926947.062921952,"Alabama","Robert B. Aderholt","Republican","AL","01",1860478.81150527,586661.434608685,2447140.24611395,9.78787253527603,3.08639222752886,12.8742647628049
"0105",417641.667636723,108266.727801065,525908.395437788,"Alabama","Dale W. Strong","Republican","AL","01",1102574.00256095,285824.161394813,1388398.16395576,5.8005787171767,1.50370455279257,7.30428326996928
"0106",249604.259114009,133209.756689764,382814.015803773,"Alabama","Gary J. Palmer","Republican","AL","01",658955.244060983,351673.757660977,1010629.00172196,3.4667258210279,1.85013550958005,5.31686133060795
"0107",767080.002067185,273650.222357704,1040730.22442489,"Alabama","Terri A. Sewell","Democrat","AL","01",2025091.20545737,722436.587024338,2747527.79248171,10.6538889175998,3.80069753274588,14.4545864503457
"0200",6689.83149932975,124665.806114142,131355.637613472,"Alaska","Nicholas J. Begich III","Republican","AK","02",17661.1551582305,329117.728141335,346778.883299565,0.0929143263795798,1.73146952936308,1.82438385574266
"0401",1015699.77581938,251542.187912426,1267241.9637318,"Arizona","David Schweikert","Republican","AZ","04",2681447.40816315,664071.376088804,3345518.78425195,14.1069413308247,3.49364149878369,17.6005828296083
"0402",449907.329011681,46169.6034376221,496076.932449303,"Arizona","Elijah Crane","Republican","AZ","04",1187755.34859084,121887.753075322,1309643.10166616,6.24871290294002,0.641244492189196,6.88995739512921
"0403",366683.993705526,98224.6324435309,464908.626149057,"Arizona","Yassamin Ansari","Democrat","AZ","04",968045.743382588,259313.029650922,1227358.77303351,5.09283324591008,1.36423100616015,6.45706425207023
"0404",840191.8929457,209853.094836545,1050044.98778224,"Arizona","Greg Stanton","Democrat","AZ","04",2218106.59737665,554012.170368478,2772118.76774513,11.6693318464681,2.91462631717423,14.5839581636423
"0405",427326.17894523,109495.132060791,536821.31100602,"Arizona","Andy Biggs","Republican","AZ","04",1128141.11241541,289067.148640487,1417208.26105589,5.93508581868375,1.52076572306654,7.45585154175028
"0406",613422.444362673,820013.198495612,1433435.64285828,"Arizona","Juan Ciscomani","Republican","AZ","04",1619435.25311746,2164834.84402842,3784270.09714587,8.51975617170379,11.3890722013279,19.9088283730317
"0407",465932.897012394,550180.81065366,1016113.70766605,"Arizona","Adelita S. Grijalva","Democrat","AZ","04",1230062.84811272,1452477.34012566,2682540.18823838,6.47129023628325,7.6414001479675,14.1126903842508
"0408",349994.512189924,92565.363892524,442559.876082448,"Arizona","Abraham J. Hamadeh","Republican","AZ","04",923985.512181399,244372.560676263,1168358.07285766,4.86103489152672,1.28563005406283,6.14666494558955
"0409",155365.621385887,43318.227837526,198683.849223413,"Arizona","Paul A. Gosar","Republican","AZ","04",410165.240458743,114360.121491069,524525.361949812,2.15785585258177,0.601642053298972,2.75949790588074
"0501",76847.9563455378,107694.737179771,184542.693525309,"Arkansas","Eric A. “Rick” Crawford","Republican","AR","05",202878.60475222,284314.106154596,487192.710906816,1.06733272702136,1.49576023860793,2.56309296562929
"0502",18721.6822739539,25938.9968188298,44660.6790927837,"Arkansas","J. French Hill","Republican","AR","05",49425.2412032383,68478.9516017107,117904.192804949,0.260023364916027,0.360263844705969,0.620287209621996
"0503",671497.204232918,351629.453457737,1023126.65769066,"Arkansas","Steve Womack","Republican","AR","05",1772752.6191749,928301.757128427,2701054.37630333,9.32635005879053,4.88374240913524,14.2100924679258
"0504",13127.929252223,46400.0714399494,59528.0006921724,"Arkansas","Bruce Westerman","Republican","AR","05",34657.7332258689,122496.188601466,157153.921827335,0.18233235072532,0.644445436665963,0.826777787391283
"0601",90359.4820612473,65134.779005802,155494.261067049,"California","Vacant","Republican","CA","06",238549.032641693,171955.816575317,410504.84921701,1.25499280640621,0.904649708413916,2.15964251482013
