"GEOID","inst_name","budg_CHE_cuts","budg_CBET_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CHE_cuts","econ_budg_CBET_cuts","econ_budg_NSF_cuts","jobs_budg_CHE_cuts","jobs_budg_CBET_cuts","jobs_budg_NSF_cuts"
"0101","University of South Alabama",43418.420517605,35635.042180116,79053.462697721,"Alabama","Barry Moore","Republican","AL","01",114624.630166477,94076.5113555061,208701.141521983,0.60303361830007,0.494931141390499,1.09796475969057
"0101","Auburn University",16554.415239777,36172.6563740264,52727.0716138034,"Alabama","Barry Moore","Republican","AL","01",43703.6562330112,95495.8128274297,139199.469060441,0.229922433885791,0.502398005194811,0.732320439080602
"0101","University of Alabama Tuscaloosa",3316.90502146412,11860.1277935594,15177.0328150235,"Alabama","Barry Moore","Republican","AL","01",8756.62925666528,31310.7373749969,40067.3666316621,0.0460681252981128,0.16472399713277,0.210792122430882
"0101","Alabama State University",0,6568.43543627129,6568.43543627129,"Alabama","Barry Moore","Republican","AL","01",0,17340.6695517562,17340.6695517562,0,0.0912282699482123,0.0912282699482123
"0101","University of Alabama in Huntsville",1056.86766249449,4850.89163668064,5907.75929917513,"Alabama","Barry Moore","Republican","AL","01",2790.13062898545,12806.3539208369,15596.4845498224,0.0146787175346457,0.0673734949538978,0.0820522124885435
"0102","Auburn University",51020.1650012798,111482.940956016,162503.105957296,"Alabama","Shomari Figures","Democrat","AL","01",134693.235603379,294314.964123882,429008.19972726,0.708613402795553,1.54837417994466,2.25698758274022
"0102","Alabama State University",0,150871.909328508,150871.909328508,"Alabama","Shomari Figures","Democrat","AL","01",0,398301.840627262,398301.840627262,0,2.09544318511817,2.09544318511817
"0102","University of South Alabama",72894.8707098337,59827.4133764438,132722.284086278,"Alabama","Shomari Figures","Democrat","AL","01",192442.458673961,157944.371313812,350386.829987773,1.0124287598588,0.830936296895053,1.84336505675385
"0102","University of Alabama Tuscaloosa",5677.0105175059,20299.0648774382,25976.0753949441,"Alabama","Shomari Figures","Democrat","AL","01",14987.3077662156,53589.531276437,68576.8390426525,0.078847368298693,0.281931456631087,0.36077882492978
"0102","Tuskegee University",0,7259.67177338294,7259.67177338294,"Alabama","Shomari Figures","Democrat","AL","01",0,19165.533481731,19165.533481731,0,0.100828774630319,0.100828774630319
