"state","state_name","budg_CBET_cuts","budg_CHE_cuts","budg_NSF_cuts","econ_budg_CBET_cuts","econ_budg_CHE_cuts","econ_budg_NSF_cuts","jobs_budg_CBET_cuts","jobs_budg_CHE_cuts","jobs_budg_NSF_cuts"
"AK","Alaska",6689.83149932975,124665.806114142,131355.637613472,17661.1551582305,329117.728141335,346778.883299565,0.0929143263795798,1.73146952936308,1.82438385574266
"AL","Alabama",3630056.67593236,1427288.63951951,5057345.31545187,9583349.62446143,3768042.0083315,13351391.6327929,50.4174538323939,19.8234533266599,70.2409071590537
"AR","Arkansas",780194.772104633,531663.258896288,1311858.03100092,2059714.19835623,1403591.0034862,3463305.20184243,10.8360385014532,7.38421192911511,18.2202504305683
"AZ","Arizona",4684524.64537839,2221362.25157024,6905886.89694863,12367145.063799,5864396.34414542,18231541.4079444,65.0628422969221,30.8522534940311,95.9150957909531
"CA","California",24507917.7258319,30590664.140944,55098581.8667759,64700902.7961963,80759353.332092,145460256.128288,340.38774619211,424.870335290888,765.258081482998
"CO","Colorado",6293704.51440988,4627392.29804579,10921096.8124557,16615379.9180421,12216315.6668409,28831695.584883,87.4125627001372,64.2693374728581,151.681900172995
"CT","Connecticut",3042464.75149822,2771401.37137211,5813866.12287033,8032106.94395531,7316499.62042237,15348606.5643777,42.2564548819198,38.4916857135015,80.7481405954213
"DC","District of Columbia",1675241.83793251,592327.886131152,2267569.72406366,4422638.45214182,1563745.61938624,5986384.07152806,23.2672477490626,8.226776196266,31.4940239453286
"DE","Delaware",2364149.94441488,1036749.23914417,3400899.18355905,6241355.85325529,2737017.99134061,8978373.8445959,32.8354158946511,14.3992949881135,47.2347108827646
"FL","Florida",7453355.11213923,5421912.46407118,12875267.5762104,19676857.4960475,14313848.9051479,33990706.4011955,103.518821001934,75.3043397787664,178.8231607807
"GA","Georgia",4933487.4553612,6307636.65605496,11241124.1114162,13024406.8821536,16652160.7719851,29676567.6541387,68.5206591022389,87.60606466743,156.126723769669
"HI","Hawaii",307217.282859648,574976.611594231,882193.894453879,811053.62674947,1517938.25460877,2328991.88135824,4.266906706384,7.9857862721421,12.2526929785261
"IA","Iowa",2070636.49027455,2052025.56601677,4122662.05629132,5466480.33432482,5417347.49428428,10883827.8286091,28.7588401427021,28.5003550835663,57.2591952262684
