state,account_name,raw_funding,econ_impact,jobs
AK,BIO,2158506.5537472004,5698457.301892609,29.979257690933338
AK,CSE,508153.6455242517,1341525.6241840245,7.057689521170162
AK,EDU,3224125.523442621,8511691.38188852,44.77952115892529
AK,ENG,233708.04203224127,616989.230965117,3.2459450282255733
AK,GEO,29251441.10115169,77223804.50704047,406.2700152937735
AK,MPS,636709.919030037,1680914.1862392977,8.843193319861625
AK,OIA,11167658.613097021,29482618.738576137,155.10636962634752
AK,OISE,56759.55757159994,149845.23198902383,0.7883271884944436
AK,OPP,42972136.70286273,113446440.89555761,596.8352319842046
AK,SBE,414193.9674817133,1093472.0741517232,5.752693992801573
AK,TIP,1073327.3671302928,2833584.249223973,14.907324543476289
AL,BIO,11430496.819495108,30176511.603467084,158.75690027076536
AL,CSE,5973798.075097496,15770826.918257393,82.96941770968745
AL,EDU,22470790.725064207,59322887.51416951,312.0943156258917
AL,ENG,11699237.676866693,30885987.466928065,162.48941217870407
AL,GEO,5137211.850080944,13562239.284213694,71.35016458445756
AL,MPS,8482539.769471757,22393904.991405442,117.81305235377442
AL,OIA,30162862.14680917,79629956.0675762,418.92864092790506
AL,OISE,1098601.2927498573,2900307.4128596233,15.258351288192463
AL,OPP,1566752.28160429,4136226.0234353254,21.76044835561514
AL,SBE,2021150.1741656596,5335836.459797342,28.07153019674527
AL,TIP,10072737.386108972,26592026.699327685,139.8991303626246
AR,BIO,4507597.184752556,11900056.567746751,62.60551645489662
AR,CSE,1539228.810241064,4063564.059036409,21.37817792001478
AR,EDU,5714564.39140078,15086449.99329806,79.36894988056639
AR,ENG,8309123.221545273,21936085.304879524,115.40448918812879
AR,GEO,1323382.945443101,3493730.9759697868,18.380318686709735
AR,MPS,2487070.839921637,6565867.0173931215,34.54265055446718
AR,OIA,18205098.205221243,48061459.261784084,252.8485861836284
AR,OISE,197961.1942019678,522617.552693195,2.749461030582886
AR,OPP,540561.0308232586,1427081.1213734027,7.507792094767479
AR,SBE,1262988.59511733,3334289.8911097515,17.541508265518473
AR,TIP,5543133.527104223,14633872.51155515,76.98796565422533
AS,BIO,0,0,0
AS,CSE,0,0,0
AS,EDU,136913.86488545546,361452.60329760244,1.901581456742437
AS,ENG,0,0,0
AS,GEO,0,0,0
AS,MPS,0,0,0
AS,OIA,0,0,0
AS,OISE,0,0,0
AS,OPP,0,0,0
AS,SBE,0,0,0
AS,TIP,0,0,0
AZ,BIO,35598549.74163521,93980171.31791694,494.42430196715554
AZ,CSE,20434311.256317727,53946581.7166788,283.8098785599684
AZ,EDU,24787694.68919934,65439513.97948626,344.2735373499908
AZ,ENG,33454358.211773895,88319505.6790831,464.64386405241527
AZ,GEO,19082902.578563336,50378862.80740719,265.04031359115737
AZ,MPS,131056264.28627367,345988537.7157625,1820.2258928649117
AZ,OIA,1033164.8724926676,2727555.263380643,14.349512117953719
AZ,OISE,2784846.390179114,7351994.470072862,38.67842208582103
AZ,OPP,3933635.331799661,10384797.275951104,54.633824052773065
AZ,SBE,8985424.948414933,23721521.863815423,124.79756872798517
AZ,TIP,22767933.115369275,60107343.42457489,316.2212932690178
CA,BIO,110866071.22198494,292686428.0260404,1539.8065447497904
CA,CSE,157953120.48098272,416996238.0697944,2193.7933400136485
CA,EDU,176359281.48354116,465588503.1165485,2449.4344650491826
CA,ENG,101449654.57263543,267827088.0717575,1409.022980175492
CA,GEO,144541344.3312574,381589149.03451955,2007.5186712674636
CA,MPS,266248684.83683342,702896527.9692403,3697.8984005115767
CA,OIA,7373671.488303845,19466492.729122147,102.41210400422007
CA,OISE,5413145.587030902,14290704.349761581,75.1825775976514
CA,OPP,109509969.86134908,289106320.43396163,1520.9718036298482
CA,SBE,35912179.02034362,94808152.61370715,498.78026417143906
CA,TIP,105148038.4350638,277590821.4685684,1460.3894227092192
CO,BIO,31552962.917136095,83299822.1012393,438.2355960713346
CO,CSE,25583171.749243677,67539573.4180033,355.32182985060655
CO,EDU,35008769.19728973,92423150.68084489,486.2329055179129
CO,ENG,27364248.787047572,72241616.7978056,380.05901093121633
CO,GEO,196695278.42155737,519275535.0329114,2731.878866966074
CO,MPS,40717209.21341108,107493432.32340525,565.5167946307093
CO,OIA,11796831.149894653,31143634.23572189,163.84487708187018
CO,OISE,1640421.6277773944,4330713.097332322,22.78363371913048
CO,OPP,23438964.8440072,61878867.188179016,325.5411783889889
CO,SBE,7189121.580333415,18979280.97208022,99.8489108379641
CO,TIP,20532259.876801893,54205166.07475702,285.170276066693
CT,BIO,23365732.01274147,61685532.513637476,324.5240557325204
CT,CSE,10482228.680427616,27673083.71632891,145.58650945038357
CT,EDU,18981836.09541062,50112047.291884035,263.63661243625864
CT,ENG,10469860.712580958,27640432.281213727,145.41473211917997
CT,GEO,7698050.217396709,20322852.573927313,106.91736413050984
CT,MPS,16445378.859578902,43415800.18928831,228.40803971637368
CT,OIA,929070.7613851911,2452746.810056905,12.90376057479432
CT,OISE,361082.52283361775,953257.8602807511,5.015035039355802
CT,OPP,2118556.7519835355,5592989.825236535,29.424399333104667
CT,SBE,5453382.790900829,14396930.56797819,75.74142765140041
CT,TIP,3977236.7838560482,10499905.109379968,55.23939977577845
DC,BIO,3505065.942622223,9253374.088522669,48.68147142530865
DC,CSE,12388878.51931026,32706639.290979087,172.0677572126425
DC,EDU,12363999.962383812,32640959.900693268,171.72222169977516
DC,ENG,6381569.077702273,16847342.365134,88.63290385697601
DC,GEO,18553949.418775074,48982426.465566196,257.6937419274316
DC,MPS,9309011.176037665,24575789.504739437,129.29182188941203
DC,OIA,4910272.689126605,12963119.899294239,68.19823179342507
DC,OISE,694731.5445458887,1834091.2776011461,9.649049229804008
DC,OPP,3414580.6924120905,9014493.027967919,47.42473183905681
DC,SBE,5356217.524036636,14140414.263456719,74.39191005606439
DC,TIP,5339168.737182282,14095405.466161225,74.15512134975391
DE,BIO,3811128.803614169,10061380.041541407,52.932344494641235
DE,CSE,4121135.034791473,10879796.49184949,57.23798659432601
DE,EDU,5724070.754190335,15111546.791062485,79.50098269708799
DE,ENG,6274821.217906954,16565528.015274359,87.15029469315213
DE,GEO,8693871.544242779,22951820.876800936,120.74821589226082
DE,MPS,8582794.815491145,22658578.312896624,119.20548354848813
DE,OIA,9094709.526812807,24010033.15078581,126.31541009462232
DE,OISE,541469.5446513846,1429479.5978796554,7.520410342380341
DE,OPP,573365.5273570899,1513684.9922227175,7.963410102181804
DE,SBE,1130082.2829373344,2983417.226954563,15.695587263018533
DE,TIP,3987912.468043101,10528088.915633786,55.38767316726529
FL,BIO,26622357.053657684,70283022.62165628,369.75495907857896
FL,CSE,30188249.05994749,79696977.51826137,419.2812369437152
FL,EDU,44061116.75350586,116321348.22925548,611.9599549098036
FL,ENG,37643588.382906206,99379073.33087239,522.8276164292529
FL,GEO,28728411.66617558,75843006.79870354,399.00571758577206
FL,MPS,88778879.73465101,234376242.4994787,1233.0399963145967
FL,OIA,1228190.3736997226,3242422.586567267,17.058199634718367
FL,OISE,1598389.755166266,4219748.953638942,22.199857710642597
FL,OPP,4102826.274987634,10831461.365967354,56.98369826371715
FL,SBE,7092410.848001724,18723964.638724554,98.50570622224616
FL,TIP,28293742.651110493,74695480.5989317,392.9686479320902
GA,BIO,26971687.414841432,71205254.77518137,374.6067696505755
GA,CSE,29058593.4369161,76714686.67345852,403.5915755127236
GA,EDU,41051161.57217909,108375066.55055279,570.1550218358205
GA,ENG,34784580.02356914,91831291.26222254,483.1191669940158
GA,GEO,18244301.843392197,48164956.86655539,253.39308115822504
GA,MPS,29470647.51133949,77802509.42993626,409.3145487686041
GA,OIA,10022839.604576629,26460296.5560823,139.20610561911985
GA,OISE,1070775.343985867,2826846.908122689,14.871879777581485
GA,OPP,3401308.437153454,8979454.274085118,47.24039496046464
GA,SBE,6891727.363214596,18194160.238886535,95.71843560020272
GA,TIP,13918349.42940612,36744442.49363217,193.31040874175167
GU,BIO,0,0,0
GU,CSE,0,0,0
GU,EDU,331418.2395416495,874944.1523899548,4.603031104745132
GU,ENG,0,0,0
GU,GEO,274097.09968892945,723616.3431787738,3.8069041623462425
GU,MPS,30333.996777348268,80081.75149219943,0.4213055107965037
GU,OIA,14495504.83943832,38268132.77611716,201.32645610331
GU,OISE,0,0,0
GU,OPP,0,0,0
GU,SBE,0,0,0
GU,TIP,74439.23979055954,196519.59304707721,1.033878330424438
HI,BIO,3530314.3056358993,9320029.766878774,49.03214313383193
HI,CSE,5159586.467074423,13621308.273076477,71.66092315381142
HI,EDU,10734588.348080767,28339313.238933228,149.0915048344551
HI,ENG,1193118.5729014392,3149833.032459799,16.571091290297765
HI,GEO,27152913.93700299,71683692.7936879,377.1238046805971
HI,MPS,4433944.467528015,11705613.394273963,61.58256204900022
HI,OIA,16011256.17158729,42269716.29299045,222.37855793871236
HI,OISE,77531.60186412108,204683.42892127967,1.0768278036683485
HI,OPP,386405.64283920435,1020110.8970954996,5.366745039433393
HI,SBE,636977.9614012287,1681621.8180992438,8.84691613057262
