org_name,org_city,org_state,lat,lon,week,current_loss,current_grant_loss,current_econ_loss,current_job_loss,overall_loss,overall_grant_loss,overall_econ_loss,overall_job_loss
Alabama A&M University,Normal,AL,34.78387,-86.57757,2025-02-28,0,0,0,0,0,0,0,0
Alamo Community College District - St. Philip's College,San Antonio,TX,29.41679,-98.45476,2025-02-28,0,0,0,0,0,0,0,0
Albany State University,Albany,GA,31.57344,-84.14257,2025-02-28,0,0,0,0,0,0,0,0
Allan Hancock College,Santa Maria,CA,34.94444,-120.41884,2025-02-28,0,0,0,0,0,0,0,0
Allegheny College,Meadville,PA,41.65897,-80.14984,2025-02-28,0,0,0,0,0,0,0,0
Alverno College,Milwaukee,WI,42.98327,-87.96656,2025-02-28,0,0,0,0,0,0,0,0
American Association for the Advancement of Science,Washington,DC,38.90028,-77.02856,2025-02-28,0,0,0,0,0,0,0,0
American Association of Physics Teachers,College Park,MD,38.97155,-76.92997,2025-02-28,0,0,0,0,0,0,0,0
American Bar Foundation,Chicago,IL,41.89619,-87.61717,2025-02-28,0,0,0,0,0,0,0,0
American Chemical Society (ACS),Washington,DC,38.90524,-77.03605,2025-02-28,0,0,0,0,0,0,0,0
American Geophysical Union,Washington,DC,38.91465,-77.04519,2025-02-28,0,0,0,0,0,0,0,0
American Indian Science and Engineering Society (AISES),Albuquerque,NM,35.15676,-106.68004,2025-02-28,0,0,0,0,0,0,0,0
American Institute of Mathematics,Pasadena,CA,34.13766,-118.12527,2025-02-28,0,0,0,0,0,0,0,0
American Institutes for Research in the Behavioral Sciences,Arlington,VA,38.86103,-77.04988,2025-02-28,0,0,0,0,0,0,0,0
American Museum Natural History,New York,NY,40.78114,-73.9736,2025-02-28,0,0,0,0,0,0,0,0
American Physical Society,College Park,MD,38.96979,-76.92856,2025-02-28,0,0,0,0,0,0,0,0
American Society for Biochemistry and Molecular Biology,Rockville,MD,39.04774,-77.12742,2025-02-28,0,0,0,0,0,0,0,0
American Society for Cell Biology,Rockville,MD,39.04774,-77.12742,2025-02-28,0,0,0,0,0,0,0,0
American Society for Engineering Education,Washington,DC,38.90702,-77.04294,2025-02-28,0,0,0,0,0,0,0,0
American Society for Microbiology,Washington,DC,38.90705,-77.04042,2025-02-28,0,0,0,0,0,0,0,0
American University,Washington,DC,38.93589,-77.09081,2025-02-28,0,0,0,0,0,0,0,0
Appalachian College Association,Walland,TN,35.72872,-83.76482,2025-02-28,0,0,0,0,0,0,0,0
Appalachian State University,Boone,NC,36.21273,-81.67747,2025-02-28,0,0,0,0,0,0,0,0
Arcadia University,Glenside,PA,40.0908,-75.16581,2025-02-28,0,0,0,0,0,0,0,0
Arizona State University,Tempe,AZ,33.46418,-111.9231,2025-02-28,0,0,0,0,0,0,0,0
"Associated Universities, Inc.",Vienna,VA,38.88291,-77.22686,2025-02-28,0,0,0,0,0,0,0,0
"Association for Women in Mathematics, Inc.",Providence,RI,41.83717,-71.4124,2025-02-28,0,0,0,0,0,0,0,0
Association of American Colleges and Universities,Washington,DC,38.91241,-77.04254,2025-02-28,0,0,0,0,0,0,0,0
Association of American Geographers,Washington,DC,38.89923,-77.03998,2025-02-28,0,0,0,0,0,0,0,0
Association of Public and Land-Grant Universities,Washington,DC,38.9033,-77.02941,2025-02-28,0,0,0,0,0,0,0,0
Auburn University,Auburn,AL,32.60214,-85.5085,2025-02-28,0,0,0,0,0,0,0,0
Azusa Pacific University,Azusa,CA,34.13032,-117.88923,2025-02-28,0,0,0,0,0,0,0,0
Bank Street College of Education,New York,NY,40.80558,-73.96661,2025-02-28,0,0,0,0,0,0,0,0
Benedictine University,Lisle,IL,41.7766,-88.09664,2025-02-28,0,0,0,0,0,0,0,0
Berry College,Mount Berry,GA,34.28942,-85.19317,2025-02-28,0,0,0,0,0,0,0,0
Bethune-Cookman University,Daytona Beach,FL,29.21146,-81.03311,2025-02-28,0,0,0,0,0,0,0,0
Black in Marine Science,Spokane,WA,47.65818,-117.42079,2025-02-28,0,0,0,0,0,0,0,0
Boise State University,Boise,ID,43.60932,-116.21081,2025-02-28,0,0,0,0,0,0,0,0
Boston College,Chestnut Hill,MA,42.33696,-71.1705,2025-02-28,0,0,0,0,0,0,0,0
Boston University,Boston,MA,42.34959,-71.09973,2025-02-28,0,0,0,0,0,0,0,0
Botanical Society of America,Saint Louis,MO,38.61674,-90.26122,2025-02-28,0,0,0,0,0,0,0,0
Bowdoin College,Brunswick,ME,43.90785,-69.96173,2025-02-28,0,0,0,0,0,0,0,0
Bowie State University,Bowie,MD,39.01927,-76.75935,2025-02-28,0,0,0,0,0,0,0,0
Bowling Green State University,Bowling Green,OH,41.37934,-83.61483,2025-02-28,0,0,0,0,0,0,0,0
Bradley University,Peoria,IL,40.69666,-89.61579,2025-02-28,0,0,0,0,0,0,0,0
Brandeis University,Waltham,MA,42.36638,-71.25452,2025-02-28,0,0,0,0,0,0,0,0
