"GEOID","rep_name","pol_party","state_name","state","org_name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"0101","Barry Moore","Republican","Alabama","AL","University of South Alabama",727702.811218168,1791937.12728296,6.69486586320714
"0101","Barry Moore","Republican","Alabama","AL","University of Alabama at Birmingham",691001.580203272,1701561.91166096,6.3572145378701
"0101","Barry Moore","Republican","Alabama","AL","University of Southern California",50335.2095801581,123948.306184587,0.463083928137454
"0101","Barry Moore","Republican","Alabama","AL","Clarity, LLC",32363.4912598736,79693.7165324192,0.297744119590838
"0101","Barry Moore","Republican","Alabama","AL","Emory University",31873.1793905641,78486.3444719862,0.293233250393189
"0102","Shomari Figures","Democrat","Alabama","AL","University of Alabama at Birmingham",1011823.74244051,2491572.79921783,9.30877843045265
"0102","Shomari Figures","Democrat","Alabama","AL","University of South Alabama",806522.007395451,1986026.03527583,7.42000246803815
"0102","Shomari Figures","Democrat","Alabama","AL","Tuskegee University",741343.46494885,1825526.65515561,6.82035987752942
"0102","Shomari Figures","Democrat","Alabama","AL","Auburn University at Auburn",199914.562861093,492281.082267163,1.83921397832206
"0102","Shomari Figures","Democrat","Alabama","AL","Alabama State University",140837.920584433,346807.370995455,1.29570886937678
"0103","Mike Rogers","Republican","Alabama","AL","University of Alabama at Birmingham",5071458.02613473,12488249.030226,46.6574138404395
"0103","Mike Rogers","Republican","Alabama","AL","Auburn University at Auburn",1315993.877377,3240578.77995735,12.1071436718684
"0103","Mike Rogers","Republican","Alabama","AL","Tuskegee University",289019.1895769,711697.424162912,2.65897654410748
"0103","Mike Rogers","Republican","Alabama","AL","University of Southern California",50335.2095801581,123948.306184587,0.463083928137454
"0103","Mike Rogers","Republican","Alabama","AL","Southern Research Institute",36130.30123241,88969.325389706,0.332398771338172
"0104","Robert B. Aderholt","Republican","Alabama","AL","University of Alabama at Birmingham",5068373.19765168,12480652.7716918,46.6290334183954
"0104","Robert B. Aderholt","Republican","Alabama","AL","University of Alabama",804993.687802006,1982262.61347832,7.40594192777845
"0104","Robert B. Aderholt","Republican","Alabama","AL","Stillman College",145081.778360635,357257.6897174,1.33475236091784
"0104","Robert B. Aderholt","Republican","Alabama","AL","Hudson-Alpha Institute for Biotechnology",85072.0977666967,209486.411394784,0.78266329945361
"0104","Robert B. Aderholt","Republican","Alabama","AL","Emory University",71714.6536287691,176594.275061969,0.659774813384676
"0105","Dale W. Strong","Republican","Alabama","AL","University of Alabama at Birmingham",1230846.56473708,3030907.15514608,11.3237883955811
"0105","Dale W. Strong","Republican","Alabama","AL","Hudson-Alpha Institute for Biotechnology",1167323.11410775,2874483.36801618,10.7393726497913
"0105","Dale W. Strong","Republican","Alabama","AL","Cfd Research Corporation",267419.577838727,658509.301742803,2.46026011611628
"0105","Dale W. Strong","Republican","Alabama","AL","Vanderbilt University Medical Center",77454.8035450448,190729.149343856,0.712584192614412
"0105","Dale W. Strong","Republican","Alabama","AL","Emory University",67730.5062049486,166783.482002971,0.623120657085527
"0106","Gary J. Palmer","Republican","Alabama","AL","University of Alabama at Birmingham",26180939.3356481,64469446.1797614,240.864641887962
"0106","Gary J. Palmer","Republican","Alabama","AL","Southern Research Institute",186519.383551985,459296.024685179,1.71597832867827
"0106","Gary J. Palmer","Republican","Alabama","AL","University of Alabama",92461.4799964324,227682.449888826,0.850645615967178
"0106","Gary J. Palmer","Republican","Alabama","AL","Emory University",87651.2433240512,215837.447297962,0.806391438581271
"0106","Gary J. Palmer","Republican","Alabama","AL","Tricorder Array Technologies, LLC",75962.206212048,187053.692088712,0.698852297150841
"0107","Terri A. Sewell","Democrat","Alabama","AL","University of Alabama at Birmingham",27164999.6217411,66892652.6521714,249.917996520018
"0107","Terri A. Sewell","Democrat","Alabama","AL","University of Alabama",860797.085039018,2119676.09848345,7.91933318235896
"0107","Terri A. Sewell","Democrat","Alabama","AL","Southern Research Institute",193530.068523481,476559.537336831,1.78047663041603
"0107","Terri A. Sewell","Democrat","Alabama","AL","Stillman College",150179.010083805,369809.405377016,1.38164689277101
"0107","Terri A. Sewell","Democrat","Alabama","AL","Emory University",75698.8010525897,186405.068120967,0.696428969683825
"0200","Nicholas J. Begich III","Republican","Alaska","AK","University of Alaska Fairbanks",2022168.17231681,8039048.93043739,15.7729117440711
"0200","Nicholas J. Begich III","Republican","Alaska","AK","Alaska Native Tribal Health Consortium",518645.744371317,2061855.47455591,4.04543680609627
"0200","Nicholas J. Begich III","Republican","Alaska","AK","Southcentral Foundation",316208.236596191,1257073.23505725,2.46642424545029
"0200","Nicholas J. Begich III","Republican","Alaska","AK","University of Alaska Anchorage",107579.523646255,427678.106274682,0.839120284440788
"0200","Nicholas J. Begich III","Republican","Alaska","AK","Columbia University",107270.21967963,426448.480689572,0.836707713501115
"0401","David Schweikert","Republican","Arizona","AZ","Mayo Clinic Arizona",2117186.37684129,6218801.78783097,21.5953010437811
"0401","David Schweikert","Republican","Arizona","AZ","Arizona State University-Tempe Campus",1971901.39928748,5792056.89279507,20.1133942727323
"0401","David Schweikert","Republican","Arizona","AZ","University of Arizona",571355.624051182,1678240.24148401,5.82782736532206
"0401","David Schweikert","Republican","Arizona","AZ","Banner Health",445100.78213889,1307392.47616923,4.54002797781668
"0401","David Schweikert","Republican","Arizona","AZ","Translational Genomics Research Inst",253643.552867494,745026.038943955,2.58716423924843
"0402","Elijah Crane","Republican","Arizona","AZ","Northern Arizona University",2004935.82586856,5889088.76175544,20.4503454238593
"0402","Elijah Crane","Republican","Arizona","AZ","University of Arizona",467994.807639913,1374638.99176831,4.77354703792711
"0402","Elijah Crane","Republican","Arizona","AZ","Arizona State University-Tempe Campus",391746.68867314,1150675.74330987,3.99581622446602
"0402","Elijah Crane","Republican","Arizona","AZ","Dine' College",162141.364421756,476257.082501981,1.65384191710191
"0402","Elijah Crane","Republican","Arizona","AZ","White Mountain Apache Tribe",116870.591348597,343283.449380519,1.19208003175569
"0403","Yassamin Ansari","Democrat","Arizona","AZ","Arizona State University-Tempe Campus",1354324.26655571,3978050.42687127,13.8141075188683
"0403","Yassamin Ansari","Democrat","Arizona","AZ","Banner Health",1050320.32748946,3085101.05762706,10.7132673403925
"0403","Yassamin Ansari","Democrat","Arizona","AZ","University of Arizona",321566.984390615,944537.221337733,3.27998324078428
"0403","Yassamin Ansari","Democrat","Arizona","AZ","Translational Genomics Research Inst",223411.29101056,656224.955514271,2.27879516830771
"0403","Yassamin Ansari","Democrat","Arizona","AZ","Mayo Clinic Arizona",166346.679571816,488609.335312431,1.69673613163252
"0404","Greg Stanton","Democrat","Arizona","AZ","Arizona State University-Tempe Campus",3898373.35064481,11450674.0775424,39.763408176577
"0404","Greg Stanton","Democrat","Arizona","AZ","University of Arizona",490963.877953529,1442105.93614957,5.00783155512599
"0404","Greg Stanton","Democrat","Arizona","AZ","Mayo Clinic Arizona",313123.161546948,919735.219411635,3.19385624777887
