"state_name","org_name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"Alabama","University of Alabama at Birmingham",66419442.0685565,163555042.499875,611.058867030719
"Alabama","University of Alabama",1838395.4297204,4526970.31584733,16.9132379534277
"Alabama","Auburn University at Auburn",1644330.37797005,4049093.40513786,15.1278394773245
"Alabama","University of South Alabama",1618543.02847769,3985593.15715581,14.8905958619947
"Alabama","Hudson-Alpha Institute for Biotechnology",1353650.85010551,3333307.46877516,12.4535878209707
"Alaska","University of Alaska Fairbanks",2022168.17231681,8039048.93043739,15.7729117440711
"Alaska","Alaska Native Tribal Health Consortium",518645.744371317,2061855.47455591,4.04543680609627
"Alaska","Southcentral Foundation",316208.236596191,1257073.23505725,2.46642424545029
"Alaska","University of Alaska Anchorage",107579.523646255,427678.106274682,0.839120284440788
"Alaska","Columbia University",107270.21967963,426448.480689572,0.836707713501115
"American Samoa","American Samoa Community Cancer Coalitio",283115.004758189,727605.562228546,2.51972354234788
"Arizona","University of Arizona",35013476.5593174,102844923.341193,357.137460905038
"Arizona","Arizona State University-Tempe Campus",12170483.2607109,35748304.3950974,124.138929259251
"Arizona","Mayo Clinic Arizona",3783743.20375893,11113971.4753574,38.594180678341
"Arizona","Banner Health",3046663.43945894,8948950.4804455,31.0759670824812
"Arizona","Northern Arizona University",2483920.49449252,7296008.22154639,25.3359890438237
"Arkansas","University of Arkansas for Medical Sciences",12974372.822588,36418097.901808,114.174480838775
"Arkansas","Arkansas Children's Hospital Research Inst",2362331.60171666,6630888.80859609,20.7885180951066
"Arkansas","Intervexiontherapeutics, LLC",1625142.08362041,4561652.75307931,14.3012503358596
"Arkansas","University of Arkansas at Fayetteville",1585760.49355688,4451111.56376144,13.9546923433005
"Arkansas","St. Jude Children's Research Hospital",637729.960615604,1790060.48756216,5.61202365341731
"California","University of California, San Francisco",154915175.704373,415682210.915285,1363.25354619848
"California","Stanford University",125364181.956591,336388349.871851,1103.204801218
"California","University of California Los Angeles",120244917.865007,322651884.053229,1058.15527721206
"California","University of California, San Diego",114654625.877222,307651514.189019,1008.96070771955
"California","University of Southern California",67851862.5140531,182066166.831745,597.096390123667
"Colorado","University of Colorado Denver",66363394.0579851,185874762.546187,637.088582956657
"Colorado","University of Colorado Boulder",11350841.7533343,31792150.560547,108.96808083201
"Colorado","Colorado State University",9478782.41255557,26548769.1696617,90.9963111605334
"Colorado","National Jewish Health",6977996.59458685,19544411.1694114,66.9887673080338
"Colorado","University of Denver (Colorado Seminary)",1370671.6412768,3839063.22857011,13.1584477562573
"Connecticut","Yale University",115478018.48851,262661095.462359,877.632940512674
"Connecticut","University of Connecticut School of Medicine",13163057.5988525,29940097.4644602,100.039237751279
"Connecticut","University of Connecticut Storrs",7191312.50183323,16357035.2545634,54.6539750139325
"Connecticut","Columbia University",1072702.1967963,2439920.06273844,8.15253669565189
"Connecticut","Weill Medical College of Cornell University",873282.721986086,1986329.51454774,6.63694868709425
"Delaware","University of Delaware",7186503.12511987,16908075.6789102,39.5257671881593
"Delaware","University of Pennsylvania",2095715.86124145,4930704.37268778,11.526437236828
"Delaware","Delaware State University",1152402.25690297,2711319.29298887,6.33821241296634
"Delaware","Nemours Children's Hospital, Delaware",931328.888425695,2191187.9885524,5.12230888634132
"Delaware","Children's Hospital of Philadelphia",599549.204405498,1410591.93112777,3.29752062423024
"District of Columbia","Georgetown University",3817545.63242818,7523900.61536816,6.10807301188509
"District of Columbia","George Washington University",3543710.59941372,6984206.32699986,5.66993695906195
"District of Columbia","Children's Research Institute",1926504.31096608,3796896.8458846,3.08240689754573
"District of Columbia","Johns Hopkins University",1196976.05529111,2359088.73033101,1.91516168846577
"District of Columbia","Pyxis Partners LLC",1186296.1853506,2338040.05462302,1.89807389656095
"Florida","University of Florida",49231714.1768096,158137590.576765,551.395198780268
"Florida","University of Miami",33780544.1986588,108506761.490424,378.342095024979
"Florida","University of South Florida",20452866.3555209,65696818.8073815,229.072103181834
"Florida","Moffitt Cancer Center",10227552.1951171,32852003.8084673,114.548584585312
"Florida","Mayo Clinic Jacksonville",10214163.7055951,32808998.5320946,114.398633502665
"Georgia","Emory University",95436267.3901964,280306216.750156,1126.14795520432
"Georgia","University of Georgia",12734693.6644901,37403116.2385137,150.269385240983
"Georgia","Augusta University",10165067.2235394,29855856.8389069,119.947793237765
"Georgia","Georgia Institute of Technology",9358928.19656727,27488142.8973993,110.435352719494
"Georgia","Georgia State University",8224340.16480938,24155740.1594363,97.0472139447507
"Guam","University of Guam",390778.298494616,1004300.22713116,3.47792685660208
"Hawaii","University of Hawaii at Manoa",10308785.6559197,29164435.58129,93.8099494688689
"Hawaii","Kuakini Medical Center",501656.937119185,1419230.34534318,4.56507812778459
"Hawaii","Hawaii Biotech, Inc.",256788.196454887,726475.752189463,2.33677258773947
"Hawaii","Experiad, LLC",251776.126017909,712296.17660539,2.29116274676297
"Hawaii","Queen's Medical Center",159331.949821751,450763.702119407,1.44992074337794
"Idaho","Washington State University",1810908.06093577,7544447.53625735,16.6603541606091
"Idaho","University of Idaho",1789208.43192353,7454044.43067146,16.4607175736965
"Idaho","Boise State University",1213960.01548025,5057494.54954232,11.1684321424183
"Idaho","Idaho State University",196484.073403741,818574.844014255,1.80765347531441
"Idaho","Caring Technologies, Inc.",196360.650152985,818060.648810111,1.80651798140746
"Illinois","Northwestern University at Chicago",74060608.7162265,211861228.501491,733.200026290642
"Illinois","University of Chicago",46580399.3808711,133250061.105145,461.145953870624
"Illinois","University of Illinois at Chicago",31177844.8315622,89188795.8057844,308.660663832466
"Illinois","University of Illinois at Urbana-Champaign",15893823.8500954,45466613.1542304,157.348856115944
